Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,,,,,,,,,,,,,,,
,ALEC,,,,,,,,,,1,1,,,1,
,ANSC,,,1,,,1,,,,,,,,1,
,BAEN,1,,,,,1,,,,,,,,1,
,BCBP,,,,,,,,,,2,2,,,2,
,CLAG,,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,1,1,,,1,
,ESSM,,,1,,,1,,,,,,,,1,
,HRSC,,,,,,,,,,,,,,,
,NFSC,,,,,,,,,,,,,,,
,PLPM,,,,,,,,,,1,1,,,1,
,POSC,,,,,,,,,,,,,,,
,RPTS,,,,1,,1,,,,,,,,1,
,SCSC,,,,,,,,2,2,,,,,2,
,WFSC,,1,,,,1,,1,1,,,,,2,
,Subtotal,1,1,2,1,,5,,3,3,5,5,,,13,
Architecture,ARCH,,,,,,,,1,1,,,,,1,
,CLAR,,,,,,,,,,,,,,,
,COSC,,,,1,,1,,,,,,,,1,
,LAUP,,,,,,,,2,2,,,,,2,
,VIZA,,,,,,,,1,1,,,,,1,
,Subtotal,,,,1,,1,,4,4,,,,,5,
Business Admin,ACCT,,,,,,,,,,1,1,,,1,
,CLBA,1,,,,,1,,4,4,,,,,5,
,FINC,,,,1,,1,,,,,,,,1,
,INFO,,,,,,,,,,,,,,,
,MGMT,,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,,
,Subtotal,1,,,1,,2,,4,4,1,1,,,7,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,,,1,,1,,,,3,3,,,4,
,EPSY,,,,,,,,1,1,1,1,,,2,
,HLKN,1,,,,,1,,,,1,1,,,2,
,TLAC,,,1,,,1,,,,2,2,,,3,
,Subtotal,1,,1,1,,3,,1,1,7,7,,,11,
Engineering,AERO,,1,,,,1,,,,1,1,,,2,
,BMEN,1,,,,,1,,,,,,,,1,
,CHEN,1,1,,,,2,,1,1,,,,,3,
,CLEN,,,,,,,,,,,,,,,
,CSCE,1,,,,,1,,2,2,,,,,3,
,CVEN,1,,1,,,2,,,,1,1,,,3,
,ECEN,,,,,,,,,,1,1,,,1,
,ETID,,,,,,,,1,1,,,,,1,
,ISEN,,,,1,,1,,,,,,,,1,
,MEEN,,,,,,,,,,,,,,,
,NUEN,,,1,1,,2,,,,,,,,2,
,PETE,1,,,,,1,,6,6,,,,,7,
,Subtotal,5,2,2,2,,11,,10,10,3,3,,,24,
G. Bush School of Govt,BUSH,,,,,,,3,,3,,,,,3,
,Subtotal,,,,,,,3,,3,,,,,3,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
