College Architecture,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,
Fall 2010,,SLevel2,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"1,384",100.0%,383,100.0%,100,100.0%,,,"1,867",100.0%,
,Female,437,31.6%,156,40.7%,34,34.0%,,,627,33.6%,
,Male,947,68.4%,227,59.3%,66,66.0%,,,"1,240",66.4%,
Ethnicity,Asian Only (NEW),25,1.8%,10,2.6%,6,6.0%,,,41,2.2%,
,Black Only + 2 or more/1 Black (NEW),27,2.0%,6,1.6%,3,3.0%,,,36,1.9%,
,Hispanic or Latino of any Race (NEW),247,17.8%,33,8.6%,5,5.0%,,,285,15.3%,
,International,11,.8%,150,39.2%,66,66.0%,,,227,12.2%,
,American Indian Only (NEW),8,.6%,2,.5%,1,1.0%,,,11,.6%,
,2 or More/Excluding Black (NEW),25,1.8%,3,.8%,,,,,28,1.5%,
,Native Hawaiian Only (NEW),,,,,,,,,,,
,Unknown or Not Reported,1,.1%,4,1.0%,,,,,5,.3%,
,White Only (NEW),"1,040",75.1%,175,45.7%,19,19.0%,,,"1,234",66.1%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,924,66.8%,,,,,,,924,49.5%,
,22-25,424,30.6%,207,54.0%,2,2.0%,,,633,33.9%,
,26-30,26,1.9%,128,33.4%,27,27.0%,,,181,9.7%,
,31-39,7,.5%,39,10.2%,50,50.0%,,,96,5.1%,
,40+,3,.2%,9,2.3%,21,21.0%,,,33,1.8%,
Enrollment Status,1st Time in College,195,14.1%,,,,,,,195,10.4%,
,1st Time PB,,,4,1.0%,,,,,4,.2%,
,1st Time Graduate,,,140,36.6%,18,18.0%,,,158,8.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,57,4.1%,,,,,,,57,3.1%,
,Readmitted,18,1.3%,,,,,,,18,1.0%,
,Continuing,"1,114",80.5%,239,62.4%,82,82.0%,,,"1,435",76.9%,
Tuition Status,Resident Tuition,"1,312",94.8%,190,49.6%,24,24.0%,,,"1,526",81.7%,
,Non-Resident Tuition,13,.9%,82,21.4%,12,12.0%,,,107,5.7%,
,Tuition Exemption/Waiver,59,4.3%,111,29.0%,64,64.0%,,,234,12.5%,
Residency Status,Texas Resident,"1,345",97.2%,197,51.4%,30,30.0%,,,"1,572",84.2%,
,"Non-TX, US Resident",28,2.0%,36,9.4%,3,3.0%,,,67,3.6%,
,"Non-TX, Non-US Resident",11,.8%,150,39.2%,67,67.0%,,,228,12.2%,
SCH Categories,< 6 SCH,4,.3%,48,12.5%,17,17.0%,,,69,3.7%,
,6-8 SCH,100,7.2%,7,1.8%,4,4.0%,,,111,5.9%,
,9-11 SCH,48,3.5%,137,35.8%,76,76.0%,,,261,14.0%,
,12-14 SCH,813,58.7%,137,35.8%,2,2.0%,,,952,51.0%,
,15-17 SCH,400,28.9%,52,13.6%,1,1.0%,,,453,24.3%,
,>17 SCH,19,1.4%,2,.5%,,,,,21,1.1%,
Ft/Pt:  TAMU Status,Less Than Half Time,4,.3%,30,7.8%,12,12.0%,,,46,2.5%,
,Half-Time,140,10.1%,9,2.3%,9,9.0%,,,158,8.5%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,"1,240",89.6%,344,89.8%,79,79.0%,,,"1,663",89.1%,
Top 10% Texas High School,No,813,58.7%,346,90.3%,100,100.0%,,,"1,259",67.4%,
,Yes,571,41.3%,37,9.7%,,,,,608,32.6%,
First Generation,No,980,70.8%,261,68.1%,58,58.0%,,,"1,299",69.6%,
,Unknown,36,2.6%,37,9.7%,24,24.0%,,,97,5.2%,
,Yes,368,26.6%,85,22.2%,18,18.0%,,,471,25.2%,
