College Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,162,121,283,5,6,11,41,20,61,5,2,7,1,1,2,3,2,,2,4,4,8,2,2,4,223,157,380,
TAMU Age Categories,18-21,151,85,236,3,6,9,35,16,51,5,2,7,1,1,2,3,1,,1,3,3,6,2,1,3,202,115,317,
,22-25,9,21,30,1,,1,3,2,5,,,,,,,,,,,1,1,2,,1,1,14,25,39,
,26-30,,8,8,,,,2,2,4,,,,,,,,1,,1,,,,,,,3,10,13,
,31-39,2,6,8,,,,,,,,,,,,,,,,,,,,,,,2,6,8,
,40+,,1,1,1,,1,1,,1,,,,,,,,,,,,,,,,,2,1,3,
Classification,Freshman,7,10,17,,,,2,,2,1,2,3,,,,,,,,,,,,,,10,12,22,
,Sophomore,112,77,189,3,5,8,23,13,36,4,,4,,,2,2,2,,2,3,3,6,1,,1,150,98,248,
,Junior,42,27,69,,1,1,15,7,22,,,,1,1,,1,,,,1,1,2,1,2,3,59,40,99,
,Senior,1,7,8,2,,2,1,,1,,,,,,,,,,,,,,,,,4,7,11,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,154,110,264,5,5,10,40,19,59,5,2,7,1,1,2,3,,,,4,3,7,2,2,4,212,143,355,
,Non-Resident Tuition,5,2,7,,1,1,1,,1,,,,,,,,1,,1,,,,,,,7,3,10,
,Tuition Exemption/Waiver,3,9,12,,,,,1,1,,,,,,,,1,,1,,1,1,,,,4,11,15,
Residency Status,Texas Resident,154,117,271,5,5,10,41,20,61,5,2,7,1,1,2,3,,,,4,3,7,2,2,4,213,151,364,
,"Non-TX, US Resident",8,4,12,,1,1,,,,,,,,,,,,,,,1,1,,,,8,6,14,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,2,,2,,,,,,,2,,2,
SCH Categories,< 6 SCH,2,,2,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,6-8 SCH,2,,2,1,,1,1,1,2,,,,,,,,,,,,,,,,,4,1,5,
,9-11 SCH,6,2,8,,,,1,1,2,,,,,,,,,,,,,,,,,7,3,10,
,12-14 SCH,84,64,148,2,2,4,25,10,35,4,2,6,,,,,,,,3,3,6,,1,1,118,82,200,
,15-17 SCH,67,52,119,2,4,6,14,8,22,1,,1,1,1,2,3,2,,2,1,1,2,2,1,3,91,68,159,
,>17 SCH,1,3,4,,,,,,,,,,,,,,,,,,,,,,,1,3,4,
Ft/Pt:  TAMU Status,Less Than Half Time,2,,2,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,Half-Time,8,2,10,1,,1,2,2,4,,,,,,,,,,,,,,,,,11,4,15,
,Full-Time,152,119,271,4,6,10,39,18,57,5,2,7,1,1,2,3,2,,2,4,4,8,2,2,4,210,153,363,
Top 10% Texas High School,No,134,108,242,3,6,9,36,20,56,5,2,7,1,1,2,2,2,,2,4,4,8,1,2,3,187,143,330,
,Yes,28,13,41,2,,2,5,,5,,,,,,,1,,,,,,,1,,1,36,14,50,
First Generation,No,113,78,191,,4,4,18,13,31,2,2,4,,,2,3,,,,2,3,5,1,2,3,138,103,241,
,Unknown,5,3,8,,,,1,,1,,,,,,,,2,,2,,,,,,,8,3,11,
,Yes,44,40,84,5,2,7,22,7,29,3,,3,1,1,,,,,,2,1,3,1,,1,77,51,128,
Dorm / Off-campus students,Off-campus,153,103,256,3,6,9,38,19,57,5,2,7,1,1,2,3,2,,2,3,2,5,2,2,4,208,136,344,
,Dorm (On-campus),9,18,27,2,,2,3,1,4,,,,,,,,,,,1,2,3,,,,15,21,36,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
