Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Business Admin,ACCT,,,3,1,,4,,2,2,,,,,6,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,2,1,,3,,,,,,,,3,
,BUAD,15,10,,1,,26,,2,2,,,,,28,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,,,,,,,,
,FINC,,,3,3,,6,,,,,,,,6,
,INFO,,,3,,,3,,,,,,,,3,
,MGMT,,,2,4,,6,,2,2,,,,,8,
,MISY,,,,,,,,2,2,,,,,2,
,MKTG,,,3,1,,4,,1,1,,,,,5,
,MLER,,,,,,,,,,,,,,,
,USBU,,,2,1,,3,,,,,,,,3,
,Subtotal,15,10,18,12,,55,,9,9,,,,,64,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,1,1,,,1,
,EDAD,,,,,,,,,,1,1,,,1,
,EDCI,,,,,,,,1,1,6,6,,,7,
,EDHL,1,,3,,,4,,,,,,,,4,
,EDIS,3,2,6,1,,12,,,,,,,,12,
,EDKI,7,,2,1,,10,,,,,,,,10,
,EDSM,,1,1,,,2,,,,,,,,2,
,EDTC,,,,,,,,1,1,,,,,1,
,EHRD,,,,,,,,1,1,,,,,1,
,EPSY,,,,,,,,,,1,1,,,1,
,HEED,,,,,,,,1,1,,,,,1,
,HLTH,,,,2,,2,,,,,,,,2,
,HRDL,1,,,1,,2,,,,,,,,2,
,HRDV,,,,,,,,,,,,,,,
,INST,,,,5,,5,,,,,,,,5,
,ISNC,,,,,,,,,,,,,,,
,KINE,,,,1,,1,,,,,,,,1,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,1,1,,,,,1,
,SPMT,,,1,1,,2,,,,,,,,2,
,SPSY,,,,,,,,,,1,1,,,1,
,TCMG,,,,1,,1,,,,,,,,1,
,TCML,,,,,,,,,,,,,,,
