Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,PSSC,,1,,,,1,,,,,,,,1,
,RENR,,,,,,,,,,,,,,,
,RLEM,,1,1,,,2,,,,,,,,2,
,RPTS,,,,2,,2,,,,,,,,2,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,,,,,,,,
,SPSA,,,2,,,2,,,,,,,,2,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,1,1,,2,,,,,,,,2,
,WFSC,,1,1,3,,5,,,,,,,,5,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,10,16,28,23,,77,,6,6,,,,,83,
Architecture,ARCH,,,,,,,,,,,,,,,
,COMG,,,,,,,,1,1,,,,,1,
,COSC,,1,2,2,,5,,,,,,,,5,
,COSL,,1,1,,,2,,,,,,,,2,
,ENDL,4,1,2,,,7,,,,,,,,7,
,ENDS,,,1,2,,3,,,,,,,,3,
,LAND,,1,,1,,2,,1,1,,,,,3,
,LANL,,1,,,,1,,,,,,,,1,
,LDEV,,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,,
,URSC,,,1,,,1,,,,,,,,1,
,USAR,,,,1,,1,,,,,,,,1,
,VISL,3,,,,,3,,,,,,,,3,
,VIST,,,,,,,,1,1,,,,,1,
,Subtotal,7,5,7,6,,25,,3,3,,,,,28,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
