College Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,342,63,405,10,3,13,55,17,72,8,2,10,,,,,,,,1,1,1E1,2,12,1,,1,426,88,514,
"TAMU Age
Categories",<18,2,,2,1,,1,1,,1,,,,,,,,,,,,,,,,,,,4,,4,
,18-21,340,63,403,9,3,12,54,17,71,8,2,10,,,,,,,,1,1,1E1,2,12,1,,1,422,88,510,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,323,60,383,10,3,13,53,15,68,8,2,10,,,,,,,,1,1,1E1,2,12,1,,1,405,83,488,
,Sophomore,19,3,22,,,,2,2,4,,,,,,,,,,,,,,,,,,,21,5,26,
,Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,321,58,379,10,3,13,49,17,66,7,2,9,,,,,,,,,,1E1,2,12,1,,1,398,82,480,
,Non-Resident Tuition,3,1,4,,,,,,,,,,,,,,,,,1,1,,,,,,,3,2,5,
,Tuition Exemption/Waiver,18,4,22,,,,6,,6,1,,1,,,,,,,,,,,,,,,,25,4,29,
Residency Status,Texas Resident,339,62,401,10,3,13,53,17,70,8,2,10,,,,,,,,,,1E1,2,12,1,,1,421,86,507,
,"Non-TX, US Resident",3,1,4,,,,2,,2,,,,,,,,,,,,,,,,,,,5,1,6,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,9-11 SCH,1,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,2,
,12-14 SCH,220,47,267,7,3,10,46,13,59,7,2,9,,,,,,,,,,7,2,9,1,,1,288,67,355,
,15-17 SCH,120,16,136,3,,3,9,4,13,1,,1,,,,,,,,,,3,,3,,,,136,20,156,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,2,,2,,,,,,,,,,,,,,,,,1,1,,,,,,,2,1,3,
,Full-Time,340,63,403,10,3,13,55,17,72,8,2,10,,,,,,,,,,1E1,2,12,1,,1,424,87,511,
Top 10% Texas High School,No,146,39,185,2,3,5,14,1,15,5,2,7,,,,,,,,1,1,4,2,6,1,,1,172,48,220,
,Yes,196,24,220,8,,8,41,16,57,3,,3,,,,,,,,,,6,,6,,,,254,40,294,
First Generation,No,284,46,330,3,1,4,24,5,29,7,2,9,,,,,,,,,,1E1,1,11,,,,328,55,383,
,Unknown,4,2,6,,1,1,,,,,,,,,,,,,,1,1,,,,1,,1,5,4,9,
,Yes,54,15,69,7,1,8,31,12,43,1,,1,,,,,,,,,,,1,1,,,,93,29,122,
Dorm / Off-campus students,Off-campus,110,26,136,1,3,4,13,4,17,3,1,4,,,,,,,,1,1,4,1,5,1,,1,132,36,168,
,Dorm (On-campus),232,37,269,9,,9,42,13,55,5,1,6,,,,,,,,,,6,1,7,,,,294,52,346,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
