College General Studies,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,
Fall 2010,,SLevel2,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"5,185",100.0%,,,,,,,"5,185",100.0%,
,Female,"2,340",45.1%,,,,,,,"2,340",45.1%,
,Male,"2,845",54.9%,,,,,,,"2,845",54.9%,
Ethnicity,Asian Only (NEW),224,4.3%,,,,,,,224,4.3%,
,Black Only + 2 or more/1 Black (NEW),229,4.4%,,,,,,,229,4.4%,
,Hispanic or Latino of any Race (NEW),932,18.0%,,,,,,,932,18.0%,
,International,52,1.0%,,,,,,,52,1.0%,
,American Indian Only (NEW),12,.2%,,,,,,,12,.2%,
,2 or More/Excluding Black (NEW),93,1.8%,,,,,,,93,1.8%,
,Native Hawaiian Only (NEW),8,.2%,,,,,,,8,.2%,
,Unknown or Not Reported,13,.3%,,,,,,,13,.3%,
,White Only (NEW),"3,622",69.9%,,,,,,,"3,622",69.9%,
TAMU Age Categories,<18,17,.3%,,,,,,,17,.3%,
,18-21,"5,103",98.4%,,,,,,,"5,103",98.4%,
,22-25,56,1.1%,,,,,,,56,1.1%,
,26-30,6,.1%,,,,,,,6,.1%,
,31-39,2,.0%,,,,,,,2,.0%,
,40+,1,.0%,,,,,,,1,.0%,
Enrollment Status,1st Time in College,"2,206",42.5%,,,,,,,"2,206",42.5%,
,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,141,2.7%,,,,,,,141,2.7%,
,Readmitted,83,1.6%,,,,,,,83,1.6%,
,Continuing,"2,755",53.1%,,,,,,,"2,755",53.1%,
Tuition Status,Resident Tuition,"4,898",94.5%,,,,,,,"4,898",94.5%,
,Non-Resident Tuition,112,2.2%,,,,,,,112,2.2%,
,Tuition Exemption/Waiver,175,3.4%,,,,,,,175,3.4%,
Residency Status,Texas Resident,"4,995",96.3%,,,,,,,"4,995",96.3%,
,"Non-TX, US Resident",137,2.6%,,,,,,,137,2.6%,
,"Non-TX, Non-US Resident",53,1.0%,,,,,,,53,1.0%,
SCH Categories,< 6 SCH,999,19.3%,,,,,,,999,19.3%,
,6-8 SCH,95,1.8%,,,,,,,95,1.8%,
,9-11 SCH,65,1.3%,,,,,,,65,1.3%,
,12-14 SCH,"2,831",54.6%,,,,,,,"2,831",54.6%,
,15-17 SCH,"1,171",22.6%,,,,,,,"1,171",22.6%,
,>17 SCH,24,.5%,,,,,,,24,.5%,
Ft/Pt:  TAMU Status,Less Than Half Time,998,19.2%,,,,,,,998,19.2%,
,Half-Time,160,3.1%,,,,,,,160,3.1%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,"4,027",77.7%,,,,,,,"4,027",77.7%,
Top 10% Texas High School,No,"3,949",76.2%,,,,,,,"3,949",76.2%,
,Yes,"1,236",23.8%,,,,,,,"1,236",23.8%,
First Generation,No,"3,513",67.8%,,,,,,,"3,513",67.8%,
,Unknown,159,3.1%,,,,,,,159,3.1%,
,Yes,"1,513",29.2%,,,,,,,"1,513",29.2%,
