College Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,8,38,46,1,,1,2,5,7,,,,,,,,,2,2,,1,1,,,,11,46,57,
TAMU Age Categories,18-21,7,31,38,1,,1,2,4,6,,,,,,,,,1,1,,,,,,,10,36,46,
,22-25,,5,5,,,,,,,,,,,,,,,1,1,,1,1,,,,,7,7,
,26-30,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,2,2,
,31-39,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,40+,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Classification,Freshman,,3,3,,,,,,,,,,,,,,,,,,,,,,,,3,3,
,Sophomore,3,23,26,1,,1,1,4,5,,,,,,,,,1,1,,,,,,,5,28,33,
,Junior,5,11,16,,,,1,1,2,,,,,,,,,1,1,,1,1,,,,6,14,20,
,Senior,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,8,37,45,1,,1,2,4,6,,,,,,,,,,,,1,1,,,,11,42,53,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,2,2,,,,,,,,2,2,
,Tuition Exemption/Waiver,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,2,2,
Residency Status,Texas Resident,8,38,46,1,,1,2,5,7,,,,,,,,,,,,1,1,,,,11,44,55,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,2,2,,,,,,,,2,2,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,1,
,9-11 SCH,,2,2,,,,,1,1,,,,,,,,,,,,,,,,,,3,3,
,12-14 SCH,6,31,37,1,,1,,4,4,,,,,,,,,,,,,,,,,7,35,42,
,15-17 SCH,2,5,7,,,,1,,1,,,,,,,,,2,2,,1,1,,,,3,8,11,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,2,2,,,,1,2,3,,,,,,,,,,,,,,,,,1,4,5,
,Full-Time,8,36,44,1,,1,1,3,4,,,,,,,,,2,2,,1,1,,,,10,42,52,
Top 10% Texas High School,No,8,33,41,1,,1,2,5,7,,,,,,,,,2,2,,1,1,,,,11,41,52,
,Yes,,5,5,,,,,,,,,,,,,,,,,,,,,,,,5,5,
First Generation,No,6,25,31,1,,1,2,2,4,,,,,,,,,,,,1,1,,,,9,28,37,
,Unknown,,,,,,,,1,1,,,,,,,,,2,2,,,,,,,,3,3,
,Yes,2,13,15,,,,,2,2,,,,,,,,,,,,,,,,,2,15,17,
Dorm / Off-campus students,Off-campus,8,37,45,1,,1,2,4,6,,,,,,,,,2,2,,1,1,,,,11,44,55,
,Dorm (On-campus),,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,2,2,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
