Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,USEH,,,,,,,,,,,,,,,
,Subtotal,1,,1,1,,3,,1,1,7,7,,,11,
Engineering,AERL,,,,,,,,,,,,,,,
,AERO,,1,,,,1,,,,1,1,,,2,
,BIOT,,,,,,,,,,,,,,,
,BMEL,1,,,,,1,,,,,,,,1,
,BMEN,,,,,,,,,,,,,,,
,CECL,,,,,,,,,,,,,,,
,CECN,,,,,,,,,,,,,,,
,CEEL,,,,,,,,,,,,,,,
,CEEN,,,,,,,,,,,,,,,
,CHEL,1,1,,,,2,,,,,,,,2,
,CHEN,,,,,,,,1,1,,,,,1,
,CPSC,,,,,,,,2,2,,,,,2,
,CPSL,1,,,,,1,,,,,,,,1,
,CVEL,1,,,,,1,,,,,,,,1,
,CVEN,,,1,,,1,,,,1,1,,,2,
,ELEL,,,,,,,,,,,,,,,
,ELEN,,,,,,,,,,1,1,,,1,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,,
,ENTC,,,,,,,,,,,,,,,
,ENTL,,,,,,,,,,,,,,,
,HLPH,,,,,,,,,,,,,,,
,IDIL,,,,,,,,,,,,,,,
,IDIS,,,,,,,,1,1,,,,,1,
,INEL,,,,,,,,,,,,,,,
,INEN,,,,1,,1,,,,,,,,1,
,ITDE,,,,,,,,,,,,,,,
,MEEL,,,,,,,,,,,,,,,
,MEEN,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,NUEL,,,,1,,1,,,,,,,,1,
,NUEN,,,1,,,1,,,,,,,,1,
,OCEL,,,,,,,,,,,,,,,
,OCEN,,,,,,,,,,,,,,,
,PETE,,,,,,,,6,6,,,,,6,
,PETL,1,,,,,1,,,,,,,,1,
,RHEL,,,,,,,,,,,,,,,
