College Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,61,74,135,2,2,4,21,27,48,1,,1,,,,,,,,,,3,4,7,,,,88,107,195,
"TAMU Age
Categories",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,61,73,134,2,2,4,21,27,48,1,,1,,,,,,,,,,3,4,7,,,,88,106,194,
,22-25,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Classification,Freshman,58,70,128,2,2,4,20,22,42,1,,1,,,,,,,,,,3,4,7,,,,84,98,182,
,Sophomore,3,4,7,,,,1,5,6,,,,,,,,,,,,,,,,,,,4,9,13,
,Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,55,72,127,2,2,4,21,26,47,1,,1,,,,,,,,,,2,4,6,,,,81,104,185,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition Exemption/Waiver,6,2,8,,,,,1,1,,,,,,,,,,,,,1,,1,,,,7,3,10,
Residency Status,Texas Resident,61,73,134,2,2,4,21,27,48,1,,1,,,,,,,,,,2,4,6,,,,87,106,193,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,2,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,57,60,117,2,2,4,20,24,44,1,,1,,,,,,,,,,3,3,6,,,,83,89,172,
,15-17 SCH,4,14,18,,,,1,3,4,,,,,,,,,,,,,,1,1,,,,5,18,23,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,61,74,135,2,2,4,21,27,48,1,,1,,,,,,,,,,3,4,7,,,,88,107,195,
Top 10% Texas High School,No,23,31,54,1,1,2,3,1,4,1,,1,,,,,,,,,,1,2,3,,,,29,35,64,
,Yes,38,43,81,1,1,2,18,26,44,,,,,,,,,,,,,2,2,4,,,,59,72,131,
First Generation,No,51,64,115,2,1,3,6,5,11,1,,1,,,,,,,,,,1,3,4,,,,61,73,134,
,Unknown,1,1,2,,,,1,,1,,,,,,,,,,,,,,,,,,,2,1,3,
,Yes,9,9,18,,1,1,14,22,36,,,,,,,,,,,,,2,1,3,,,,25,33,58,
Dorm / Off-campus students,Off-campus,16,26,42,,1,1,4,5,9,,,,,,,,,,,,,2,,2,,,,22,32,54,
,Dorm (On-campus),45,48,93,2,1,3,17,22,39,1,,1,,,,,,,,,,1,4,5,,,,66,75,141,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
