Headcount by Department by Ethnic Origin by Gender Fall 2010,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,Native Hawaii Only (New),,American Indian Only (NEW),,International,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Liberal Arts,ANTH,133,83,7,3,33,6,1,3,,,,,6,10,5,,1,2,186,107,293,
,CLLA,283,174,10,7,111,48,10,6,1,1,,1,5,3,7,4,,,427,244,671,
,COMM,576,182,28,16,88,30,12,8,1,1,5,,7,7,13,4,1,,731,248,979,
,ECON,65,280,2,8,11,51,12,21,2,1,1,1,39,67,,8,,2,132,439,571,
,ENGL,427,121,16,3,87,31,14,4,,1,2,3,14,11,8,6,1,1,569,181,750,
,EURO,25,11,1,,3,2,2,1,,,,,,1,,,,,31,15,46,
,HISP,52,11,1,,36,21,,1,,,,,,8,1,,,,90,41,131,
,HIST,205,433,2,22,35,69,3,6,,,1,1,4,1,8,6,,2,258,540,798,
,PHUM,24,50,2,2,4,11,2,1,,1,,1,,2,,1,,2,32,71,103,
,POLS,190,387,26,17,46,77,13,15,,,1,1,9,3,3,7,1,4,289,511,800,
,PRFM,36,19,2,2,12,13,4,,,,,,1,,1,,,1,56,35,91,
,PSYC,670,224,56,14,200,72,46,24,,,1,3,7,6,19,2,3,1,"1,002",346,"1,348",
,SOCI,185,86,42,17,76,46,10,2,1,,3,1,8,3,6,3,1,1,332,159,491,
,Subtotal,"2,871","2,061",195,111,742,477,129,92,5,5,14,12,100,122,71,41,8,16,"4,135","2,937","7,072",
Science,BIOL,588,412,41,19,216,137,111,108,2,,4,3,38,18,25,16,,,"1,025",713,"1,738",
,CHEM,118,146,10,11,34,31,12,22,,,,2,51,94,5,3,,2,230,311,541,
,CLSC,5,10,,2,1,2,,,,,,,,,,,,,6,14,20,
,MATH,149,144,4,8,21,41,12,14,,,1,1,24,55,4,5,1,1,216,269,485,
,PHYS,29,136,1,5,6,33,1,10,,1,1,,9,87,2,4,,1,49,277,326,
,STAT,26,51,,4,2,3,10,9,,,,,31,31,,,2,1,71,99,170,
,Subtotal,915,899,56,49,280,247,146,163,2,1,6,6,153,285,36,28,3,5,"1,597","1,683","3,280",
Veterinary Medicine,CLVM,"1,151",423,47,13,240,120,90,78,3,,5,5,8,2,20,12,6,2,"1,570",655,"2,225",
,VIBS,17,8,,,,1,1,,,,,,10,11,,,,,28,20,48,
,VLCS,3,1,,,,,,,,,,,,,,,,,3,1,4,
,VSCS,,,,,,1,,,,,,,2,4,,,,,2,5,7,
,VTPB,21,6,1,,1,1,3,,,,,,5,5,,,,,31,12,43,
,VTPP,7,4,1,,1,,,2,,,,,6,4,,,,,15,10,25,
,Subtotal,"1,199",442,49,13,242,123,94,80,3,,5,5,31,26,20,12,6,2,"1,649",703,"2,352",
General Studies,GEST,"1,665","1,957",110,119,427,505,70,154,3,5,3,9,13,39,44,49,5,8,"2,340","2,845","5,185",
,Subtotal,"1,665","1,957",110,119,427,505,70,154,3,5,3,9,13,39,44,49,5,8,"2,340","2,845","5,185",
Other - Special Populations,CLMD,2,2,,,,,,,,,,,,,1,,1,,4,2,6,
,MARB,1,,,,,,,,,,,,,,,,,,1,,1,
,MARS,,1,,,,,,,,,,,,,,,,,,1,1,
,PETE,1,,,,,,,,,,,,,,,,,,1,,1,
,SABX,,1,,,,,,,,,,,30,48,,,1,1,31,50,81,
,SRPH,3,4,,,1,,,,,,,,2,,,,,1,6,5,11,
,Subtotal,7,8,,,1,,,,,,,,32,48,1,,2,2,43,58,101,
Total,,"15,746","17,208",892,822,"3,443","3,577",849,"1,243",23,34,77,94,"1,365","2,919",352,361,44,80,"22,791","26,338","49,129",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,
