Residency Status by Tuition Status by College Fall 2010,,,,,,,,,,
Fall 2010,,Tuition Status,,,,,,,,
,,Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,Total,,
Agriculture,Texas Resident,"5,679",99.9%,5,2.0%,156,18.5%,"5,840",86.2%,
,"Non-TX, US Resident",2,.0%,120,48.4%,338,40.0%,460,6.8%,
,"Non-TX, Non-US Resident",1,.0%,123,49.6%,351,41.5%,475,7.0%,
Architecture,Texas Resident,"1,526",100.0%,2,1.9%,44,18.8%,"1,572",84.2%,
,"Non-TX, US Resident",0,.0%,21,19.6%,46,19.7%,67,3.6%,
,"Non-TX, Non-US Resident",0,.0%,84,78.5%,144,61.5%,228,12.2%,
Business Admin,Texas Resident,"4,535",100.0%,3,2.5%,89,28.6%,"4,627",93.1%,
,"Non-TX, US Resident",2,.0%,38,31.7%,93,29.9%,133,2.7%,
,"Non-TX, Non-US Resident",0,.0%,79,65.8%,129,41.5%,208,4.2%,
Education,Texas Resident,"4,685",100.0%,10,6.8%,84,29.8%,"4,779",93.4%,
,"Non-TX, US Resident",0,.0%,71,48.0%,99,35.1%,170,3.3%,
,"Non-TX, Non-US Resident",0,.0%,67,45.3%,99,35.1%,166,3.2%,
Engineering,Texas Resident,"8,027",100.0%,17,1.6%,219,11.1%,"8,263",74.7%,
,"Non-TX, US Resident",1,.0%,137,13.0%,470,23.8%,608,5.5%,
,"Non-TX, Non-US Resident",2,.0%,897,85.3%,"1,289",65.2%,"2,188",19.8%,
G. Bush School of Govt,Texas Resident,201,100.0%,2,22.2%,29,29.6%,232,75.3%,
,"Non-TX, US Resident",0,.0%,4,44.4%,57,58.2%,61,19.8%,
,"Non-TX, Non-US Resident",0,.0%,3,33.3%,12,12.2%,15,4.9%,
Geosciences,Texas Resident,749,100.0%,1,1.2%,28,13.0%,778,74.3%,
,"Non-TX, US Resident",0,.0%,20,24.4%,99,45.8%,119,11.4%,
,"Non-TX, Non-US Resident",0,.0%,61,74.4%,89,41.2%,150,14.3%,
Liberal Arts,Texas Resident,"6,206",100.0%,12,5.1%,141,22.3%,"6,359",89.9%,
,"Non-TX, US Resident",0,.0%,142,60.7%,347,54.9%,489,6.9%,
,"Non-TX, Non-US Resident",0,.0%,80,34.2%,144,22.8%,224,3.2%,
Science,Texas Resident,"2,486",100.0%,4,4.9%,82,11.5%,"2,572",78.4%,
,"Non-TX, US Resident",0,.0%,33,40.7%,238,33.4%,271,8.3%,
,"Non-TX, Non-US Resident",0,.0%,44,54.3%,393,55.1%,437,13.3%,
Veterinary Medicine,Texas Resident,"2,153",100.0%,1,4.0%,58,33.3%,"2,212",94.0%,
,"Non-TX, US Resident",0,.0%,17,68.0%,67,38.5%,84,3.6%,
,"Non-TX, Non-US Resident",0,.0%,7,28.0%,49,28.2%,56,2.4%,
General Studies,Texas Resident,"4,898",100.0%,2,1.8%,95,54.3%,"4,995",96.3%,
,"Non-TX, US Resident",0,.0%,68,60.7%,69,39.4%,137,2.6%,
,"Non-TX, Non-US Resident",0,.0%,42,37.5%,11,6.3%,53,1.0%,
Other - Special Populations,Texas Resident,14,100.0%,2,2.4%,0,.0%,16,15.8%,
,"Non-TX, US Resident",0,.0%,2,2.4%,2,66.7%,4,4.0%,
,"Non-TX, Non-US Resident",0,.0%,80,95.2%,1,33.3%,81,80.2%,
Total,Texas Resident,"41,159",100.0%,61,2.7%,"1,025",18.1%,"42,245",86.0%,
,"Non-TX, US Resident",5,.0%,673,29.2%,"1,925",34.0%,"2,603",5.3%,
,"Non-TX, Non-US Resident",3,.0%,"1,567",68.1%,"2,711",47.9%,"4,281",8.7%,
"Prepared by OISP, 11/23/2010",,,,,,,,,,
