College Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,15,21,36,,1,1,5,4,9,2,2,4,,,,,4,6,10,1,,1,,,,27,34,61,
TAMU Age Categories,18-21,11,14,25,,1,1,1,2,3,,2,2,,,,,1,2,3,1,,1,,,,14,21,35,
,22-25,1,5,6,,,,2,1,3,,,,,,,,3,3,6,,,,,,,6,9,15,
,26-30,,2,2,,,,1,1,2,,,,,,,,,1,1,,,,,,,1,4,5,
,31-39,1,,1,,,,1,,1,1,,1,,,,,,,,,,,,,,3,,3,
,40+,2,,2,,,,,,,1,,1,,,,,,,,,,,,,,3,,3,
Classification,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,8,5,13,,,,,1,1,1,1,2,,,,,1,3,4,,,,,,,10,10,20,
,Junior,7,14,21,,1,1,5,3,8,1,1,2,,,,,3,3,6,,,,,,,16,22,38,
,Senior,,2,2,,,,,,,,,,,,,,,,,1,,1,,,,1,2,3,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,13,18,31,,1,1,4,4,8,2,2,4,,,,,,1,1,1,,1,,,,20,26,46,
,Non-Resident Tuition,1,1,2,,,,,,,,,,,,,,2,3,5,,,,,,,3,4,7,
,Tuition Exemption/Waiver,1,2,3,,,,1,,1,,,,,,,,2,2,4,,,,,,,4,4,8,
Residency Status,Texas Resident,13,19,32,,1,1,5,4,9,2,2,4,,,,,,1,1,1,,1,,,,21,27,48,
,"Non-TX, US Resident",2,2,4,,,,,,,,,,,,,,,,,,,,,,,2,2,4,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,4,5,9,,,,,,,4,5,9,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,2,
,9-11 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,12-14 SCH,8,14,22,,1,1,4,4,8,1,1,2,,,,,3,6,9,,,,,,,16,26,42,
,15-17 SCH,5,6,11,,,,1,,1,,1,1,,,,,1,,1,1,,1,,,,8,7,15,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,2,1,3,,,,,,,1,,1,,,,,,,,,,,,,,3,1,4,
,Full-Time,13,20,33,,1,1,5,4,9,1,2,3,,,,,4,6,10,1,,1,,,,24,33,57,
Top 10% Texas High School,No,13,19,32,,1,1,5,4,9,2,1,3,,,,,4,6,10,,,,,,,24,31,55,
,Yes,2,2,4,,,,,,,,1,1,,,,,,,,1,,1,,,,3,3,6,
First Generation,No,11,15,26,,,,1,1,2,1,1,2,,,,,,,,1,,1,,,,14,17,31,
,Unknown,,1,1,,,,,,,,,,,,,,4,6,10,,,,,,,4,7,11,
,Yes,4,5,9,,1,1,4,3,7,1,1,2,,,,,,,,,,,,,,9,10,19,
Dorm / Off-campus students,Off-campus,15,21,36,,1,1,5,4,9,2,2,4,,,,,4,5,9,1,,1,,,,27,33,60,
,Dorm (On-campus),,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
