College Liberal Arts,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,
Fall 2010,,SLevel2,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"6,265",100.0%,351,100.0%,456,100.0%,,,"7,072",100.0%,
,Female,"3,727",59.5%,172,49.0%,236,51.8%,,,"4,135",58.5%,
,Male,"2,538",40.5%,179,51.0%,220,48.2%,,,"2,937",41.5%,
Ethnicity,Asian Only (NEW),205,3.3%,6,1.7%,10,2.2%,,,221,3.1%,
,Black Only + 2 or more/1 Black (NEW),253,4.0%,23,6.6%,30,6.6%,,,306,4.3%,
,Hispanic or Latino of any Race (NEW),"1,106",17.7%,48,13.7%,65,14.3%,,,"1,219",17.2%,
,International,42,.7%,73,20.8%,107,23.5%,,,222,3.1%,
,American Indian Only (NEW),24,.4%,,,2,.4%,,,26,.4%,
,2 or More/Excluding Black (NEW),104,1.7%,5,1.4%,3,.7%,,,112,1.6%,
,Native Hawaiian Only (NEW),10,.2%,,,,,,,10,.1%,
,Unknown or Not Reported,17,.3%,3,.9%,4,.9%,,,24,.3%,
,White Only (NEW),"4,504",71.9%,193,55.0%,235,51.5%,,,"4,932",69.7%,
TAMU Age Categories,<18,6,.1%,,,,,,,6,.1%,
,18-21,"4,565",72.9%,,,,,,,"4,565",64.6%,
,22-25,"1,533",24.5%,170,48.4%,37,8.1%,,,"1,740",24.6%,
,26-30,101,1.6%,116,33.0%,186,40.8%,,,403,5.7%,
,31-39,40,.6%,49,14.0%,162,35.5%,,,251,3.5%,
,40+,20,.3%,16,4.6%,71,15.6%,,,107,1.5%,
Enrollment Status,1st Time in College,735,11.7%,,,,,,,735,10.4%,
,1st Time PB,,,7,2.0%,,,,,7,.1%,
,1st Time Graduate,,,131,37.3%,70,15.4%,,,201,2.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,380,6.1%,,,,,,,380,5.4%,
,Readmitted,107,1.7%,,,,,,,107,1.5%,
,Continuing,"5,043",80.5%,213,60.7%,386,84.6%,,,"5,642",79.8%,
Tuition Status,Resident Tuition,"5,876",93.8%,133,37.9%,197,43.2%,,,"6,206",87.8%,
,Non-Resident Tuition,117,1.9%,59,16.8%,58,12.7%,,,234,3.3%,
,Tuition Exemption/Waiver,272,4.3%,159,45.3%,201,44.1%,,,632,8.9%,
Residency Status,Texas Resident,"6,014",96.0%,144,41.0%,201,44.1%,,,"6,359",89.9%,
,"Non-TX, US Resident",209,3.3%,133,37.9%,147,32.2%,,,489,6.9%,
,"Non-TX, Non-US Resident",42,.7%,74,21.1%,108,23.7%,,,224,3.2%,
SCH Categories,< 6 SCH,69,1.1%,39,11.1%,121,26.5%,,,229,3.2%,
,6-8 SCH,130,2.1%,21,6.0%,10,2.2%,,,161,2.3%,
,9-11 SCH,293,4.7%,281,80.1%,317,69.5%,,,891,12.6%,
,12-14 SCH,"3,157",50.4%,10,2.8%,8,1.8%,,,"3,175",44.9%,
,15-17 SCH,"2,431",38.8%,,,,,,,"2,431",34.4%,
,>17 SCH,185,3.0%,,,,,,,185,2.6%,
Ft/Pt:  TAMU Status,Less Than Half Time,64,1.0%,34,9.7%,103,22.6%,,,201,2.8%,
,Half-Time,424,6.8%,21,6.0%,27,5.9%,,,472,6.7%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,"5,777",92.2%,296,84.3%,326,71.5%,,,"6,399",90.5%,
Top 10% Texas High School,No,"4,235",67.6%,343,97.7%,440,96.5%,,,"5,018",71.0%,
,Yes,"2,030",32.4%,8,2.3%,16,3.5%,,,"2,054",29.0%,
First Generation,No,"4,380",69.9%,233,66.4%,223,48.9%,,,"4,836",68.4%,
,Unknown,168,2.7%,29,8.3%,92,20.2%,,,289,4.1%,
,Yes,"1,717",27.4%,89,25.4%,141,30.9%,,,"1,947",27.5%,
