Texas A&M University Student Enrollment Summary Student Head Count by Level,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,
"University Summary, Fall 2010",,SLevel2,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
College,Total,"39,148",100.0%,"5,834",100.0%,"3,631",100.0%,516,100.0%,"49,129",100.0%,
,Agriculture,"5,373",13.7%,850,14.6%,552,15.2%,,,"6,775",13.8%,
,Architecture,"1,384",3.5%,383,6.6%,100,2.8%,,,"1,867",3.8%,
,Business Admin,"4,155",10.6%,748,12.8%,65,1.8%,,,"4,968",10.1%,
,Education,"3,792",9.7%,636,10.9%,687,18.9%,,,"5,115",10.4%,
,Engineering,"8,158",20.8%,"1,779",30.5%,"1,122",30.9%,,,"11,059",22.5%,
,G. Bush School of Govt,,,308,5.3%,,,,,308,.6%,
,Geosciences,693,1.8%,204,3.5%,150,4.1%,,,"1,047",2.1%,
,Liberal Arts,"6,265",16.0%,351,6.0%,456,12.6%,,,"7,072",14.4%,
,Science,"2,396",6.1%,450,7.7%,434,12.0%,,,"3,280",6.7%,
,Veterinary Medicine,"1,683",4.3%,88,1.5%,65,1.8%,516,100.0%,"2,352",4.8%,
,General Studies,"5,185",13.2%,,,,,,,"5,185",10.6%,
,Other - Special Populations,64,.2%,37,.6%,,,,,101,.2%,
Gender,Female,"18,595",47.5%,"2,357",40.4%,"1,454",40.0%,385,74.6%,"22,791",46.4%,
,Male,"20,553",52.5%,"3,477",59.6%,"2,177",60.0%,131,25.4%,"26,338",53.6%,
Ethnicity,Asian Only (NEW),"1,768",4.5%,202,3.5%,108,3.0%,14,2.7%,"2,092",4.3%,
,Black Only + 2 or more/1 Black (NEW),"1,302",3.3%,190,3.3%,218,6.0%,4,.8%,"1,714",3.5%,
,Hispanic or Latino of any Race (NEW),"6,219",15.9%,473,8.1%,279,7.7%,49,9.5%,"7,020",14.3%,
,International,619,1.6%,"1,991",34.1%,"1,674",46.1%,,,"4,284",8.7%,
,American Indian Only (NEW),148,.4%,12,.2%,10,.3%,1,.2%,171,.3%,
,2 or More/Excluding Black (NEW),637,1.6%,55,.9%,20,.6%,1,.2%,713,1.5%,
,Native Hawaiian Only (NEW),51,.1%,4,.1%,2,.1%,,,57,.1%,
,Unknown or Not Reported,58,.1%,36,.6%,23,.6%,7,1.4%,124,.3%,
,White Only (NEW),"28,346",72.4%,"2,871",49.2%,"1,297",35.7%,440,85.3%,"32,954",67.1%,
TAMU Age Categories,<18,74,.2%,,,1,.0%,,,75,.2%,
,18-21,"29,848",76.2%,105,1.8%,,,12,2.3%,"29,965",61.0%,
,22-25,"8,406",21.5%,"3,308",56.7%,347,9.6%,341,66.1%,"12,402",25.2%,
,26-30,541,1.4%,"1,508",25.8%,"1,571",43.3%,138,26.7%,"3,758",7.6%,
,31-39,203,.5%,638,10.9%,"1,225",33.7%,20,3.9%,"2,086",4.2%,
,40+,76,.2%,275,4.7%,487,13.4%,5,1.0%,843,1.7%,
Enrollment Status,1st Time in College,"8,176",20.9%,,,,,,,"8,176",16.6%,
,1st Time PB,,,179,3.1%,,,,,179,.4%,
,1st Time Graduate,,,"2,159",37.0%,584,16.1%,,,"2,743",5.6%,
,1st Time Professional,,,,,,,133,25.8%,133,.3%,
,1st Time Transfer,"1,635",4.2%,,,,,,,"1,635",3.3%,
,Readmitted,477,1.2%,16,.3%,8,.2%,1,.2%,502,1.0%,
,Continuing,"28,860",73.7%,"3,480",59.7%,"3,039",83.7%,382,74.0%,"35,761",72.8%,
Tuition Status,Resident Tuition,"36,479",93.2%,"2,899",49.7%,"1,310",36.1%,479,92.8%,"41,167",83.8%,
