Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,,,,,,
,APMS,,,,,,,,,,,,,,,
,BIOL,,,,,,,,,,,,,,,
,BMCB,,,,,,,,,,,,,,,
,BOTN,,,,,,,,,,,,,,,
,CHEM,1,,1,,,2,,,,,,,,2,
,GENE,,,,,,,,,,,,,,,
,MATH,,1,,,,1,1,,1,,,,,2,
,MBIO,,,,,,,,,,,,,,,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,,,,,,,,,,1,1,,,1,
,STAT,,,,,,,1,2,3,,,,,3,
,USSC,,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,,,,,,
,Subtotal,1,1,1,,,3,2,2,4,1,1,,,8,
Veterinary Medicine,BIMS,1,,,,,1,,,,,,,,1,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VMSC,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,7,7,7,
,VTMI,,,,,,,,,,,,,,,
,VTMS,,,,,,,,,,,,,,,
,Subtotal,1,,,,,1,,,,,,7,7,8,
General Studies,GEST,9,,1,,,10,,,,,,,,10,
,TEAM,3,,,,,3,,,,,,,,3,
,Subtotal,12,,1,,,13,,,,,,,,13,
Other - Special Populations,MARB,,,,,,,,,,,,,,,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,1,,1,,,,,1,
,PETE,,,,,,,,,,,,,,,
,PHLT,,,,,,,1,,1,,,,,1,
,REEP,,,1,1,,2,,,,,,,,2,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
