Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,Undergraduate,,,,,,,,,,,,,,,,,Masters,,,,,,,,,PhD,,,,,,Professional,,,,,Grand Total,,
,,,Freshman,,,Sophomore,,,Junior,,,Senior,,,PB,,Total,,,PB,,,Master,,,Total,,,PhD,,,Total,,,Professional Veterinary,,,Total,,,,
Other - Special Populations,,Subtotal,,,,,,,1,,,1,,,,,2,,,2,,,,,,2,,,,,,,,,,,,,,4,,
University,,Total,27,,,9,,,14,,,8,,,,,58,,,8,,,28,,,36,,,23,,,23,,,7,,,7,,124,,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,White Only (NEW),,,,Black Only + 2 or more/1 Black (NEW),,,,,Hispanic or Latino of any Race (NEW),,,,Asian Only (NEW),,,,Native Hawaii Only (New),,,,American Indian Only (NEW),,,International,,,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,,,F,M,,Tot,F,,M,Tot,,F,M,,Tot,F,M,Tot,,F,M,,Tot,F,M,Tot,F,,M,Tot,,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,,,"2,792","2,874",,"5,666",154,,117,271,,754,748,,"1,502",2.E2,238,414,,2,5,,7,7,1E1,20,21,,52,73,,9E1,107,195,12,2.,28,"4,006","4,170","8,176",
"TAMU Age
Categories",<18,,,16,13,,29,7,,5,12,,8,4,,12,5,6,11,,,,,,,,,1,,2,3,,1,1,2,,,,38,31,69,
,18-21,,,"2,776","2,856",,"5,632",147,,112,259,,746,742,,"1,488",2.E2,232,403,,2,5,,7,7,1E1,20,20,,48,68,,9E1,106,193,12,2.,28,"3,968","4,130","8,098",
,22-25,,,,5,,5,,,,,,,2,,2,,,,,,,,,,,,,,2,2,,,,,,,,,9,9,
Classification,Freshman,,,"2,645","2,691",,"5,336",149,,115,264,,693,694,,"1,387",2.E2,218,386,,2,5,,7,7,1E1,20,19,,51,70,,9E1,100,186,9,2.,24,"3,778","3,902","7,680",
,Sophomore,,,137,171,,308,2,,2,4,,52,46,,98,5,18,23,,,,,,,,,2,,1,3,,2,4,6,3,1,4,203,243,446,
,Junior,,,9,11,,20,3,,,3,,9,7,,16,3,2,5,,,,,,,,,,,,,,,3,3,,,,24,23,47,
,Senior,,,1,1,,2,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,3,
Tuition Status,Resident Tuition,,,"2,550","2,607",,"5,157",142,,103,245,,696,705,,"1,401",2.E2,226,396,,2,5,,7,7,1E1,18,2,,4,6,,8E1,99,180,10,1.,24,"3,660","3,774","7,434",
,Non-Resident Tuition,,,49,28,,77,2,,1,3,,6,1,,7,,4,4,,,,,,,,,11,,39,50,,2,1,3,,,,70,74,144,
,Tuition Exemption/Waiver,,,193,239,,432,10,,13,23,,52,42,,94,6,8,14,,,,,,,2,2,8,,9,17,,5,7,12,2,2,4,276,322,598,
Residency Status,Texas Resident,,,"2,704","2,745",,"5,449",152,,109,261,,736,734,,"1,470",2.E2,228,401,,2,5,,7,7,1E1,19,2,,3,5,,8E1,103,186,12,2.,27,"3,871","3,954","7,825",
,"Non-TX, US Resident",,,86,129,,215,2,,8,10,,18,14,,32,3,8,11,,,,,,,1,1,,,1,1,,5,4,9,,1,1,114,166,280,
,"Non-TX, Non-US Resident",,,2,,,2,,,,,,,,,,,2,2,,,,,,,,,19,,48,67,,,,,,,,21,50,71,
SCH Categories,< 6 SCH,,,252,247,,499,6,,5,11,,39,44,,83,8,8,16,,,1,,1,,,,2,,3,5,,1E1,7,17,1,,1,318,315,633,
,6-8 SCH,,,7,17,,24,,,1,1,,3,5,,8,,,,,,,,,,1,1,2,,,2,,,1,1,,,,12,25,37,
,9-11 SCH,,,9,31,,40,1,,2,3,,3,4,,7,,1,1,,,,,,,,,2,,3,5,,2,1,3,,,,17,42,59,
,12-14 SCH,,,"1,566","1,761",,"3,327",104,,80,184,,450,479,,929,96,139,235,,2,2,,4,6,9,15,8,,28,36,,5E1,70,117,7,9,16,"2,286","2,577","4,863",
,15-17 SCH,,,958,816,,"1,774",43,,29,72,,259,216,,475,72,90,162,,,2,,2,1,3,4,7,,18,25,,3E1,28,57,4,7,11,"1,373","1,209","2,582",
,>17 SCH,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
Ft/Pt: TAMU Status,Less Than Half Time,,,252,247,,499,6,,5,11,,39,44,,83,8,8,16,,,1,,1,,,,2,,2,4,,1E1,7,17,1,,1,318,314,632,
,Half-Time,,,14,48,,62,1,,3,4,,5,9,,14,,1,1,,,,,,,1,1,4,,3,7,,2,2,4,,,,26,67,93,
,Full-Time,,,"2,526","2,579",,"5,105",147,,109,256,,710,695,,"1,405",2.E2,229,397,,2,4,,6,7,1E1,19,15,,47,62,,8E1,98,174,11,2.,27,"3,662","3,789","7,451",
Top 10% Texas High School,No,,,"1,338","1,684",,"3,022",62,,68,130,,246,294,,540,1.E2,164,268,,1,2,,3,5,9,14,20,,51,71,,5E1,62,115,8,1.,18,"1,837","2,344","4,181",
,Yes,,,"1,454","1,190",,"2,644",92,,49,141,,508,454,,962,72,74,146,,1,3,,4,2,4,6,1,,1,2,,4E1,45,80,4,6,10,"2,169","1,826","3,995",
First Generation,No,,,"2,221","2,365",,"4,586",65,,60,125,,330,348,,678,1.E2,148,269,,2,2,,4,4,1E1,15,3,,3,6,,7E1,86,153,7,8,15,"2,820","3,031","5,851",
,Unknown,,,33,40,,73,6,,9,15,,21,24,,45,4,9,13,,,1,,1,,,,18,,48,66,,,2,2,3,6,9,85,139,224,
,Yes,,,538,469,,"1,007",83,,48,131,,403,376,,779,51,81,132,,,2,,2,3,2,5,,,1,1,,2E1,19,40,2,2,4,"1,101","1,000","2,101",
Dorm / Off-campus students,Off-campus,,,"1,163","1,009",,"2,172",50,,37,87,,202,198,,400,44,86,130,,1,2,,3,1,4,5,9,,33,42,,4E1,32,68,4,7,11,"1,510","1,408","2,918",
,Dorm (On-campus),,,"1,629","1,865",,"3,494",104,,80,184,,552,550,,"1,102",1.E2,152,284,,1,3,,4,6,9,15,12,,19,31,,5E1,75,127,8,9,17,"2,496","2,762","5,258",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
