Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,1,1,,,1,
,APMS,,1,,1,,2,,,,,,,,2,
,BIOL,10,6,8,7,1,32,,1,1,,,,,33,
,BMCB,1,,1,1,,3,,,,,,,,3,
,BOTN,,,,,,,,,,,,,,,
,CHEM,3,1,1,2,,7,,,,1,1,,,8,
,GENE,,,,,,,,,,,,,,,
,MATH,2,2,1,1,,6,,1,1,,,,,7,
,MBIO,,,2,,,2,,,,,,,,2,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,,1,,2,,3,,1,1,1,1,,,5,
,STAT,,,,,,,,,,,,,,,
,USSC,,,,,,,,,,,,,,,
,ZOOL,,1,1,1,,3,,,,,,,,3,
,Subtotal,16,12,14,15,1,58,,3,3,3,3,,,64,
Veterinary Medicine,BIMS,15,7,4,4,,30,,1,1,,,,,31,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VMSC,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,1,1,1,
,VTMI,,,,,,,,,,,,,,,
,VTMS,,,,,,,,,,,,,,,
,Subtotal,15,7,4,4,,30,,1,1,,,1,1,32,
General Studies,GEST,38,27,7,,,72,,,,,,,,72,
,TEAM,20,1,,,,21,,,,,,,,21,
,Subtotal,58,28,7,,,93,,,,,,,,93,
Other - Special Populations,MARB,,,,,,,,,,,,,,,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,1,,1,,,,,1,
,PETE,,,,,,,,,,,,,,,
,PHLT,,,,,,,,,,,,,,,
,REEP,,,,,,,,,,,,,,,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
