College Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,20,137,157,,5,5,5,32,37,2,8,10,1,1,1,1,7,34,41,2,1,3,,,,37,218,255,
TAMU Age Categories,18-21,16,102,118,,4,4,5,27,32,1,6,7,1,1,1,1,5,16,21,2,1,3,,,,30,157,187,
,22-25,4,23,27,,,,,2,2,,2,2,,,,,2,16,18,,,,,,,6,43,49,
,26-30,,5,5,,,,,2,2,1,,1,,,,,,2,2,,,,,,,1,9,10,
,31-39,,7,7,,1,1,,1,1,,,,,,,,,,,,,,,,,,9,9,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,8,8,,1,1,,,,1,,1,,,,,,1,1,,,,,,,1,10,11,
,Sophomore,10,59,69,,3,3,1,16,17,,4,4,1,1,1,1,4,15,19,2,1,3,,,,18,99,117,
,Junior,7,57,64,,,,3,10,13,1,3,4,,,,,3,14,17,,,,,,,14,84,98,
,Senior,3,10,13,,1,1,1,5,6,,1,1,,,,,,4,4,,,,,,,4,21,25,
,PB,,3,3,,,,,1,1,,,,,,,,,,,,,,,,,,4,4,
Tuition Status,Resident Tuition,20,130,150,,5,5,5,28,33,1,7,8,1,1,1,1,,1,1,2,1,3,,,,29,173,202,
,Non-Resident Tuition,,1,1,,,,,3,3,1,,1,,,,,2,22,24,,,,,,,3,26,29,
,Tuition Exemption/Waiver,,6,6,,,,,1,1,,1,1,,,,,5,11,16,,,,,,,5,19,24,
Residency Status,Texas Resident,20,135,155,,5,5,5,30,35,2,8,10,1,1,1,1,,1,1,2,1,3,,,,30,181,211,
,"Non-TX, US Resident",,2,2,,,,,2,2,,,,,,,,,,,,,,,,,,4,4,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,7,33,40,,,,,,,7,33,40,
SCH Categories,< 6 SCH,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,1,1,2,
,6-8 SCH,1,4,5,,,,,1,1,,,,,,,,,,,,,,,,,1,5,6,
,9-11 SCH,2,4,6,,,,,,,,,,,,,,,,,,,,,,,2,4,6,
,12-14 SCH,10,98,108,,4,4,2,25,27,1,7,8,1,1,1,1,1,22,23,1,,1,,,,16,157,173,
,15-17 SCH,7,29,36,,1,1,3,6,9,,1,1,,,,,6,12,18,1,1,2,,,,17,50,67,
,>17 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Ft/Pt:  TAMU Status,Less Than Half Time,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,1,1,2,
,Half-Time,3,8,11,,,,,1,1,,,,,,,,,,,,,,,,,3,9,12,
,Full-Time,17,128,145,,5,5,5,31,36,1,8,9,1,1,1,1,7,34,41,2,1,3,,,,33,208,241,
Top 10% Texas High School,No,14,112,126,,5,5,5,27,32,2,8,10,1,1,1,1,7,34,41,2,1,3,,,,31,188,219,
,Yes,6,25,31,,,,,5,5,,,,,,,,,,,,,,,,,6,30,36,
First Generation,No,15,86,101,,2,2,4,16,20,2,5,7,1,1,1,1,,1,1,2,1,3,,,,24,112,136,
,Unknown,2,2,4,,1,1,,3,3,,,,,,,,7,33,40,,,,,,,9,39,48,
,Yes,3,49,52,,2,2,1,13,14,,3,3,,,,,,,,,,,,,,4,67,71,
Dorm / Off-campus students,Off-campus,20,122,142,,5,5,4,26,30,2,6,8,1,1,,,7,30,37,1,1,2,,,,34,191,225,
,Dorm (On-campus),,15,15,,,,1,6,7,,2,2,,,1,1,,4,4,1,,1,,,,3,27,30,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
