Headcount by Major by Ethnic Origin by Gender Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,,,Native Hawaii Only (New),,American Indian Only (NEW),,,,International,,2 or More/Excluding Black (NEW),,,,Unknown or Not Reported,,Total,,,Total,
,,,,Female,Male,,Female,,Male,,Female,Male,Female,,Male,,Female,Male,Female,,Male,,Female,Male,Female,,Male,,Female,Male,Female,,Male,,
Other - Special Populations,,MARB,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
,,MARM,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,,MDSC,,2,2,,,,,,,,,,,,,,,,,,,,1,,,,1,,4,,2,6,
,,PETE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
,,PHLT,,3,4,,,,,,1,,,,,,,,,,,,2,,,,,,,1,6,,5,11,
,,REEP,,,1,,,,,,,,,,,,,,,,,,30,48,,,,,1,1,31,,50,81,
,,Subtotal,,7,8,,,,,,1,,,,,,,,,,,,32,48,1,,,,2,2,43,,58,101,
Total,,,,"15,746","17,208",,892,,822,,"3,443","3,577",849,,"1,243",,23,34,77,,94,,"1,365","2,919",352,,361,,44,80,"22,791",,"26,338","49,129",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethnicity White Only (NEW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,Undergraduate,,,,,,,,,,,,,Masters,,,,,,PhD,,,,Professional,,,,Grand Total,,,,,
,,,Freshman,,,Sophomore,,Junior,,Senior,,PB,,Total,,PB,,Master,,Total,,PhD,,Total,,Professional Veterinary,,Total,,,,,,,
Agriculture,ADEV,,,,,,,,,,,,,,,1,,22,,23,,,,,,,,,,23,,,,,
,AGBL,,38,,,52,,53,,4,,,,147,,,,,,,,,,,,,,,,147,,,,,
,AGBU,,,,,,,29,,87,,3,,119,,,,16,,16,,,,,,,,,,135,,,,,
,AGCJ,,23,,,37,,43,,59,,,,162,,,,,,,,,,,,,,,,162,,,,,
,AGEC,,21,,,47,,121,,164,,,,353,,,,36,,36,,12,,12,,,,,,401,,,,,
,AGLS,,8,,,8,,16,,8,,,,40,,,,,,,,,,,,,,,,40,,,,,
,AGRO,,6,,,23,,43,,46,,,,118,,,,17,,17,,8,,8,,,,,,143,,,,,
,AGSC,,6,,,28,,39,,38,,2,,113,,,,,,,,,,,,,,,,113,,,,,
,AGSM,,5,,,9,,33,,72,,,,119,,,,2,,2,,,,,,,,,,121,,,,,
,ALEC,,,,,,,,,,,,,,,,,60,,60,,42,,42,,,,,,102,,,,,
,ALED,,17,,,60,,108,,179,,,,364,,,,,,,,,,,,,,,,364,,,,,
,ANBR,,,,,,,,,,,,,,,,,7,,7,,2,,2,,,,,,9,,,,,
,ANSC,,120,,,115,,164,,207,,5,,611,,7,,52,,59,,12,,12,,,,,,682,,,,,
,BAEN,,44,,,24,,23,,35,,1,,127,,,,21,,21,,6,,6,,,,,,154,,,,,
,BESC,,9,,,20,,31,,66,,1,,127,,,,,,,,,,,,,,,,127,,,,,
,BICH,,23,,,21,,23,,30,,4,,101,,,,13,,13,,36,,36,,,,,,150,,,,,
,BIOT,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,,5,,,,,
,CDEV,,1,,,8,,5,,6,,,,20,,,,,,,,,,,,,,,,20,,,,,
,DASC,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,2,,,,,
,ECOR,,1,,,4,,4,,4,,,,13,,,,,,,,,,,,,,,,13,,,,,
,ENST,,5,,,6,,5,,2,,,,18,,,,,,,,,,,,,,,,18,,,,,
,ENTO,,1,,,6,,13,,18,,,,38,,2,,13,,15,,15,,15,,,,,,68,,,,,
,FISC,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,2,,,,,
,FIVL,,15,,,7,,3,,,,,,25,,,,,,,,,,,,,,,,25,,,,,
,FIVS,,,,,,,5,,6,,,,11,,,,,,,,,,,,,,,,11,,,,,
,FLOR,,,,,2,,2,,,,,,4,,,,,,,,,,,,,,,,4,,,,,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
