College Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,237,"1,001","1,238",9,34,43,78,234,312,16,69,85,,1,1,,4,4,1,7,8,1E1,41,54,,5,5,354,"1,396","1,750",
"TAMU Age
Categories",<18,,7,7,,1,1,1,1,2,,3,3,,,,,,,1,1,2,,,,,,,2,13,15,
,18-21,237,994,"1,231",9,33,42,77,232,309,16,66,82,,1,1,,4,4,,6,6,1E1,41,54,,5,5,352,"1,382","1,734",
,22-25,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,
Classification,Freshman,212,910,"1,122",8,33,41,69,224,293,15,63,78,,1,1,,4,4,1,6,7,1E1,37,49,,4,4,317,"1,282","1,599",
,Sophomore,21,83,104,,1,1,8,8,16,,6,6,,,,,,,,1,1,1,1,2,,1,1,30,101,131,
,Junior,3,7,10,1,,1,1,1,2,1,,1,,,,,,,,,,,3,3,,,,6,11,17,
,Senior,1,1,2,,,,,1,1,,,,,,,,,,,,,,,,,,,1,2,3,
Tuition Status,Resident Tuition,205,873,"1,078",7,31,38,71,219,290,14,66,80,,1,1,,4,4,,3,3,1E1,39,51,,4,4,309,"1,240","1,549",
,Non-Resident Tuition,5,7,12,,,,,1,1,,1,1,,,,,,,,1,1,,,,,,,5,10,15,
,Tuition Exemption/Waiver,27,121,148,2,3,5,7,14,21,2,2,4,,,,,,,1,3,4,1,2,3,,1,1,40,146,186,
Residency Status,Texas Resident,226,941,"1,167",9,32,41,76,224,300,15,67,82,,1,1,,4,4,,2,2,1E1,40,52,,5,5,338,"1,316","1,654",
,"Non-TX, US Resident",10,60,70,,2,2,2,10,12,1,2,3,,,,,,,,1,1,1,1,2,,,,14,76,90,
,"Non-TX, Non-US Resident",1,,1,,,,,,,,,,,,,,,,1,4,5,,,,,,,2,4,6,
SCH Categories,< 6 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,6-8 SCH,3,4,7,,,,,2,2,,,,,,,,,,,,,,,,,,,3,6,9,
,9-11 SCH,,25,25,,2,2,1,3,4,,,,,,,,,,,,,1,1,2,,,,2,31,33,
,12-14 SCH,148,722,870,6,23,29,49,162,211,9,47,56,,1,1,,2,2,1,4,5,7,29,36,,1,1,220,991,"1,211",
,15-17 SCH,86,249,335,3,9,12,28,67,95,7,22,29,,,,,2,2,,3,3,5,11,16,,4,4,129,367,496,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Half-Time,3,29,32,,2,2,1,5,6,,,,,,,,,,,,,1,1,2,,,,5,37,42,
,Full-Time,234,971,"1,205",9,32,41,77,229,306,16,69,85,,1,1,,4,4,1,7,8,1E1,40,52,,5,5,349,"1,358","1,707",
Top 10% Texas High School,No,59,420,479,1,14,15,20,61,81,8,36,44,,,,,1,1,1,6,7,8,16,24,,2,2,97,556,653,
,Yes,178,581,759,8,20,28,58,173,231,8,33,41,,1,1,,3,3,,1,1,5,25,30,,3,3,257,840,"1,097",
First Generation,No,204,856,"1,060",6,22,28,46,116,162,13,48,61,,1,1,,4,4,,2,2,1E1,32,43,,4,4,280,"1,085","1,365",
,Unknown,4,8,12,,3,3,1,12,13,,,,,,,,,,1,5,6,,2,2,,1,1,6,31,37,
,Yes,29,137,166,3,9,12,31,106,137,3,21,24,,,,,,,,,,2,7,9,,,,68,280,348,
Dorm / Off-campus students,Off-campus,56,195,251,2,5,7,11,39,50,2,21,23,,1,1,,,,1,2,3,6,10,16,,,,78,273,351,
,Dorm (On-campus),181,806,987,7,29,36,67,195,262,14,48,62,,,,,4,4,,5,5,7,31,38,,5,5,276,"1,123","1,399",
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
