College Engineering,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,
Fall 2010,,SLevel2,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"8,158",100.0%,"1,779",100.0%,"1,122",100.0%,,,"11,059",100.0%,
,Female,"1,533",18.8%,371,20.9%,207,18.4%,,,"2,111",19.1%,
,Male,"6,625",81.2%,"1,408",79.1%,915,81.6%,,,"8,948",80.9%,
Ethnicity,Asian Only (NEW),486,6.0%,68,3.8%,36,3.2%,,,590,5.3%,
,Black Only + 2 or more/1 Black (NEW),245,3.0%,32,1.8%,21,1.9%,,,298,2.7%,
,Hispanic or Latino of any Race (NEW),"1,288",15.8%,105,5.9%,31,2.8%,,,"1,424",12.9%,
,International,297,3.6%,"1,072",60.3%,819,73.0%,,,"2,188",19.8%,
,American Indian Only (NEW),27,.3%,,,1,.1%,,,28,.3%,
,2 or More/Excluding Black (NEW),146,1.8%,12,.7%,3,.3%,,,161,1.5%,
,Native Hawaiian Only (NEW),14,.2%,1,.1%,,,,,15,.1%,
,Unknown or Not Reported,11,.1%,10,.6%,3,.3%,,,24,.2%,
,White Only (NEW),"5,644",69.2%,479,26.9%,208,18.5%,,,"6,331",57.2%,
TAMU Age Categories,<18,16,.2%,,,,,,,16,.1%,
,18-21,"5,832",71.5%,38,2.1%,,,,,"5,870",53.1%,
,22-25,"2,120",26.0%,"1,111",62.5%,135,12.0%,,,"3,366",30.4%,
,26-30,132,1.6%,477,26.8%,602,53.7%,,,"1,211",11.0%,
,31-39,51,.6%,124,7.0%,351,31.3%,,,526,4.8%,
,40+,7,.1%,29,1.6%,34,3.0%,,,70,.6%,
Enrollment Status,1st Time in College,"1,750",21.5%,,,,,,,"1,750",15.8%,
,1st Time PB,,,8,.4%,,,,,8,.1%,
,1st Time Graduate,,,609,34.2%,210,18.7%,,,819,7.4%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,255,3.1%,,,,,,,255,2.3%,
,Readmitted,62,.8%,5,.3%,1,.1%,,,68,.6%,
,Continuing,"6,091",74.7%,"1,157",65.0%,911,81.2%,,,"8,159",73.8%,
Tuition Status,Resident Tuition,"7,335",89.9%,511,28.7%,184,16.4%,,,"8,030",72.6%,
,Non-Resident Tuition,274,3.4%,596,33.5%,181,16.1%,,,"1,051",9.5%,
,Tuition Exemption/Waiver,549,6.7%,672,37.8%,757,67.5%,,,"1,978",17.9%,
Residency Status,Texas Resident,"7,534",92.4%,529,29.7%,200,17.8%,,,"8,263",74.7%,
,"Non-TX, US Resident",333,4.1%,177,9.9%,98,8.7%,,,608,5.5%,
,"Non-TX, Non-US Resident",291,3.6%,"1,073",60.3%,824,73.4%,,,"2,188",19.8%,
SCH Categories,< 6 SCH,85,1.0%,277,15.6%,127,11.3%,,,489,4.4%,
,6-8 SCH,123,1.5%,64,3.6%,14,1.2%,,,201,1.8%,
,9-11 SCH,243,3.0%,"1,352",76.0%,956,85.2%,,,"2,551",23.1%,
,12-14 SCH,"4,515",55.3%,83,4.7%,19,1.7%,,,"4,617",41.7%,
,15-17 SCH,"2,995",36.7%,3,.2%,6,.5%,,,"3,004",27.2%,
,>17 SCH,197,2.4%,,,,,,,197,1.8%,
Ft/Pt:  TAMU Status,Less Than Half Time,28,.3%,129,7.3%,88,7.8%,,,245,2.2%,
,Half-Time,353,4.3%,69,3.9%,24,2.1%,,,446,4.0%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,"7,777",95.3%,"1,581",88.9%,"1,010",90.0%,,,"10,368",93.8%,
Top 10% Texas High School,No,"4,210",51.6%,"1,701",95.6%,"1,074",95.7%,,,"6,985",63.2%,
,Yes,"3,948",48.4%,78,4.4%,48,4.3%,,,"4,074",36.8%,
First Generation,No,"5,991",73.4%,"1,239",69.6%,645,57.5%,,,"7,875",71.2%,
,Unknown,422,5.2%,88,4.9%,126,11.2%,,,636,5.8%,
,Yes,"1,745",21.4%,452,25.4%,351,31.3%,,,"2,548",23.0%,
