Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,PSSC,,,,,,,,,,,,,,,
,RENR,,1,1,,,2,,,,,,,,2,
,RLEM,,,,,,,,,,,,,,,
,RPTS,,,,,,,,,,1,1,,,1,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,,,,,,,,
,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,,,,,,,,,,,,,
,WFSC,,,,1,,1,,2,2,,,,,3,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,,7,9,13,,29,,4,4,1,1,,,34,
Architecture,ARCH,,,,,,,,1,1,1,1,,,2,
,COMG,,,,,,,,,,,,,,,
,COSC,,,2,3,,5,,,,,,,,5,
,COSL,,,,,,,,,,,,,,,
,ENDL,,,,,,,,,,,,,,,
,ENDS,,,,1,,1,,,,,,,,1,
,LAND,,,,,,,,,,,,,,,
,LANL,,,,,,,,,,,,,,,
,LDEV,,,,,,,,,,,,,,,
,URPL,,,,,,,,1,1,,,,,1,
,URSC,,,1,,,1,,,,,,,,1,
,USAR,,,,,,,,,,,,,,,
,VISL,,,1,,,1,,,,,,,,1,
,VIST,,,,,,,,,,,,,,,
,Subtotal,,,4,4,,8,,2,2,1,1,,,11,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
