Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,USEH,,,,,,,,,,,,,,,
,Subtotal,16,22,17,43,1,99,8,47,55,128,128,,,282,
Engineering,AERL,1,1,,,,2,,,,,,,,2,
,AERO,,,1,6,,7,,2,2,,,,,9,
,BIOT,,,,,,,,,,,,,,,
,BMEL,6,3,1,,,10,,,,,,,,10,
,BMEN,,1,,3,,4,,2,2,,,,,6,
,CECL,5,2,1,,,8,,,,,,,,8,
,CECN,,2,3,5,,10,,,,2,2,,,12,
,CEEL,3,2,1,,,6,,,,,,,,6,
,CEEN,,1,,1,,2,,,,,,,,2,
,CHEL,7,1,1,,,9,,,,,,,,9,
,CHEN,,1,6,6,1,14,,2,2,,,,,16,
,CPSC,,2,3,2,,7,,2,2,3,3,,,12,
,CPSL,4,6,2,,,12,,,,,,,,12,
,CVEL,6,,,,,6,,,,,,,,6,
,CVEN,,5,5,7,,17,,2,2,,,,,19,
,ELEL,3,7,1,1,,12,,,,,,,,12,
,ELEN,,,5,11,,16,,5,5,4,4,,,25,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,2,2,,,,,2,
,ENTC,,,,6,,6,,,,,,,,6,
,ENTL,1,4,2,2,,9,,,,,,,,9,
,HLPH,,,,,,,,1,1,,,,,1,
,IDIL,,2,,,,2,,,,,,,,2,
,IDIS,,,2,11,,13,,,,,,,,13,
,INEL,2,3,,1,,6,,,,,,,,6,
,INEN,1,1,10,11,,23,,1,1,2,2,,,26,
,ITDE,,,,,,,,,,1,1,,,1,
,MEEL,10,1,,1,,12,,,,,,,,12,
,MEEN,,1,5,5,,11,,3,3,5,5,,,19,
,MSEN,,,,,,,,,,1,1,,,1,
,NUEL,1,2,,,,3,,,,,,,,3,
,NUEN,,,1,3,,4,,2,2,1,1,,,7,
,OCEL,,1,,,,1,,,,,,,,1,
,OCEN,,,1,2,,3,,1,1,,,,,4,
,PETE,,,1,4,,5,,7,7,2,2,,,14,
,PETL,2,,,,,2,,,,,,,,2,
,RHEL,1,,,,,1,,,,,,,,1,
