College Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,168,213,381,5,5,10,25,21,46,2,2,4,,,3,3,1,5,6,5,3,8,1,,1,210,249,459,
TAMU Age Categories,18-21,142,159,301,2,3,5,20,11,31,1,1,2,,,3,3,1,4,5,4,2,6,1,,1,174,180,354,
,22-25,24,42,66,3,2,5,2,9,11,1,1,2,,,,,,1,1,1,1,2,,,,31,56,87,
,26-30,2,7,9,,,,1,1,2,,,,,,,,,,,,,,,,,3,8,11,
,31-39,,5,5,,,,2,,2,,,,,,,,,,,,,,,,,2,5,7,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,10,10,20,2,,2,1,1,2,,,,,,,,,1,1,,,,,,,13,12,25,
,Sophomore,86,109,195,1,2,3,10,11,21,1,1,2,,,1,1,1,2,3,1,2,3,,,,101,127,228,
,Junior,69,85,154,2,3,5,14,8,22,,1,1,,,2,2,,1,1,4,1,5,1,,1,92,99,191,
,Senior,3,9,12,,,,,1,1,1,,1,,,,,,1,1,,,,,,,4,11,15,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,156,198,354,5,5,10,24,18,42,2,2,4,,,3,3,,,,5,3,8,,,,195,226,421,
,Non-Resident Tuition,7,2,9,,,,1,,1,,,,,,,,1,3,4,,,,,,,9,5,14,
,Tuition Exemption/Waiver,5,13,18,,,,,3,3,,,,,,,,,2,2,,,,1,,1,6,18,24,
Residency Status,Texas Resident,158,204,362,5,5,10,24,21,45,2,2,4,,,3,3,,,,5,3,8,,,,197,235,432,
,"Non-TX, US Resident",10,9,19,,,,1,,1,,,,,,,,,,,,,,1,,1,12,9,21,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,1,5,6,,,,,,,1,5,6,
SCH Categories,< 6 SCH,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,1,1,2,
,6-8 SCH,2,,2,,,,,1,1,,,,,,,,,,,,,,,,,2,1,3,
,9-11 SCH,4,12,16,,,,,,,,,,,,,,,,,,,,,,,4,12,16,
,12-14 SCH,92,132,224,3,3,6,19,13,32,1,1,2,,,2,2,1,4,5,3,1,4,1,,1,122,154,276,
,15-17 SCH,68,68,136,1,2,3,6,7,13,1,1,2,,,1,1,,1,1,2,2,4,,,,79,81,160,
,>17 SCH,2,,2,,,,,,,,,,,,,,,,,,,,,,,2,,2,
Ft/Pt:  TAMU Status,Less Than Half Time,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,1,1,2,
,Half-Time,6,12,18,,,,,1,1,,,,,,,,,,,,,,,,,6,13,19,
,Full-Time,162,200,362,4,5,9,25,20,45,2,2,4,,,3,3,1,5,6,5,3,8,1,,1,203,235,438,
Top 10% Texas High School,No,154,197,351,4,5,9,23,21,44,2,2,4,,,2,2,1,5,6,5,3,8,1,,1,192,233,425,
,Yes,14,16,30,1,,1,2,,2,,,,,,1,1,,,,,,,,,,18,16,34,
First Generation,No,105,126,231,3,2,5,12,8,20,1,,1,,,1,1,,,,5,2,7,,,,127,138,265,
,Unknown,4,6,10,,,,1,1,2,,,,,,,,1,5,6,,,,,,,6,12,18,
,Yes,59,81,140,2,3,5,12,12,24,1,2,3,,,2,2,,,,,1,1,1,,1,77,99,176,
Dorm / Off-campus students,Off-campus,168,206,374,5,5,10,25,17,42,2,2,4,,,3,3,,5,5,5,3,8,,,,208,238,446,
,Dorm (On-campus),,7,7,,,,,4,4,,,,,,,,1,,1,,,,1,,1,2,11,13,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
