College G. Bush School of Govt,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,
Fall 2010,,SLevel2,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,,,308,100.0%,,,,,308,100.0%,
,Female,,,130,42.2%,,,,,130,42.2%,
,Male,,,178,57.8%,,,,,178,57.8%,
Ethnicity,Asian Only (NEW),,,8,2.6%,,,,,8,2.6%,
,Black Only + 2 or more/1 Black (NEW),,,19,6.2%,,,,,19,6.2%,
,Hispanic or Latino of any Race (NEW),,,34,11.0%,,,,,34,11.0%,
,International,,,15,4.9%,,,,,15,4.9%,
,American Indian Only (NEW),,,1,.3%,,,,,1,.3%,
,2 or More/Excluding Black (NEW),,,9,2.9%,,,,,9,2.9%,
,Native Hawaiian Only (NEW),,,1,.3%,,,,,1,.3%,
,Unknown or Not Reported,,,3,1.0%,,,,,3,1.0%,
,White Only (NEW),,,218,70.8%,,,,,218,70.8%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,,,7,2.3%,,,,,7,2.3%,
,22-25,,,157,51.0%,,,,,157,51.0%,
,26-30,,,69,22.4%,,,,,69,22.4%,
,31-39,,,48,15.6%,,,,,48,15.6%,
,40+,,,27,8.8%,,,,,27,8.8%,
Enrollment Status,1st Time in College,,,,,,,,,,,
,1st Time PB,,,57,18.5%,,,,,57,18.5%,
,1st Time Graduate,,,98,31.8%,,,,,98,31.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,1,.3%,,,,,1,.3%,
,Continuing,,,152,49.4%,,,,,152,49.4%,
Tuition Status,Resident Tuition,,,201,65.3%,,,,,201,65.3%,
,Non-Resident Tuition,,,9,2.9%,,,,,9,2.9%,
,Tuition Exemption/Waiver,,,98,31.8%,,,,,98,31.8%,
Residency Status,Texas Resident,,,232,75.3%,,,,,232,75.3%,
,"Non-TX, US Resident",,,61,19.8%,,,,,61,19.8%,
,"Non-TX, Non-US Resident",,,15,4.9%,,,,,15,4.9%,
SCH Categories,< 6 SCH,,,41,13.3%,,,,,41,13.3%,
,6-8 SCH,,,54,17.5%,,,,,54,17.5%,
,9-11 SCH,,,23,7.5%,,,,,23,7.5%,
,12-14 SCH,,,184,59.7%,,,,,184,59.7%,
,15-17 SCH,,,6,1.9%,,,,,6,1.9%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,39,12.7%,,,,,39,12.7%,
,Half-Time,,,54,17.5%,,,,,54,17.5%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,,,215,69.8%,,,,,215,69.8%,
Top 10% Texas High School,No,,,286,92.9%,,,,,286,92.9%,
,Yes,,,22,7.1%,,,,,22,7.1%,
First Generation,No,,,214,69.5%,,,,,214,69.5%,
,Unknown,,,12,3.9%,,,,,12,3.9%,
,Yes,,,82,26.6%,,,,,82,26.6%,
