College Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headcount Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMU Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories Classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status SCH Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 10% Texas High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freshman Sophomore Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Resident Tuition Tuition Exemption/Waiver Texas Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time Full-Time No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F            M           Tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3                  7                10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,M,,,Tot,F,,M,,,Tot,F,M,Tot,,F,M,Tot,F,Tot,,F,,M        Tot,,,,
,1,,1,,2,,,,,1,1,,,,,,,,,,,,4,9                13,,,,
3,7,,,10,,,1,,1,,2,,1,,1,,,,,,4,,,,,9,13,
2,7,,,9,,,1,,1,,2,,1,,1,,,,,,3,,,,,9,12,
1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,
3,7,,,10,,,1,,1,,2,,1,,1,,,,,,4,,,,,9,13,
3,7,,,10,,,1,,1,,2,,1,,1,,,,,,4,,,,,9,13,
2,,,,2,,,,,,,,,,,,,,,,,2,,,,,,2,
,7,,,7,,,1,,1,,2,,1,,1,,,,,,1,,,,,9,10,
1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,
1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,
2,7,,,9,,,1,,1,,2,,1,,1,,,,,,3,,,,,9,12,
3,4,,,7,,,,,1,,1,,,,,,,,,,3,,,,,5,8,
,3,,,3,,,1,,,,1,,1,,1,,,,,,1,,,,,4,5,
3,4,,,7,,,,,,,,,,,,,,,,,3,,,,,4,7,
,3,,,3,,,1,,1,,2,,1,,1,,,,,,1,,,,,5,6,
2,5,,,7,,,1,,1,,2,,,,,,,,,,3,,,,,6,9,
1,2,,,3,,,,,,,,,1,,1,,,,,,1,,,,,3,4,
Dorm / Off-campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
students,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off-campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,,,,,,,,,,,,,,
