Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,502,-12.2%,54,42.1%,54,-11.5%,158,11.3%,768,-5.5%,
Gender,Female,346,-7.0%,39,44.4%,28,-28.2%,119,9.2%,532,-2.7%,
,Male,156,-22.0%,15,36.4%,26,18.2%,39,18.2%,236,-11.3%,
Ethnicity,White,347,-21.3%,35,66.7%,22,-40.5%,137,7.0%,541,-13.7%,
,Black,16,100.0%,3,100.0%,1,100.0%,2,100.0%,22,144.4%,
,Hispanic,59,-6.3%,6,50.0%,3,50.0%,13,85.7%,81,6.6%,
,Asian,58,16.0%,1,-66.7%,3,0.0%,3,0.0%,65,10.2%,
,American Indian,4,100.0%,1,100.0%,,,,,5,150.0%,
,International,1,-83.3%,6,-40.0%,24,33.3%,,,31,-8.8%,
,Unknown/Other,17,750.0%,2,100.0%,1,0.0%,3,0.0%,23,283.3%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,309,-15.3%,0,-100.0%,,,6,500.0%,315,-14.2%,
,22-25,189,-2.6%,26,44.4%,7,-36.4%,67,3.1%,289,0.3%,
,26-30,3,-75.0%,17,30.8%,22,-18.5%,63,10.5%,105,-3.7%,
,31-39,0,-100.0%,10,150.0%,16,0.0%,17,0.0%,43,13.2%,
,40+,,,1,-50.0%,9,28.6%,5,150.0%,15,36.4%,
Enrollment,1st Time in College,5,150.0%,,,,,,,5,150.0%,
Status,1st Time PB,,,3,100.0%,,,,,3,100.0%,
,1st Time Graduate,,,7,250.0%,,,,,7,250.0%,
,1st Time Professional,,,,,,,18,100.0%,18,100.0%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,3,0.0%,,,,,,,3,0.0%,
,Continuing,494,-12.9%,44,22.2%,54,-11.5%,140,-1.4%,732,-9.2%,
Tuition,Resident Tuition,477,-13.6%,36,56.5%,21,-25.0%,145,11.5%,679,-7.4%,
Status,Non-Resident Tuition,3,-62.5%,2,0.0%,5,66.7%,3,200.0%,13,-7.1%,
,Tuition  Exemption/Waiver,22,83.3%,16,23.1%,28,-6.7%,10,-9.1%,76,15.2%,
Residency,Texas Resident,484,-12.2%,37,60.9%,23,-23.3%,147,13.1%,691,-5.9%,
Status,"Non-TX, US Resident",16,6.7%,11,120.0%,7,-46.2%,11,-8.3%,45,0.0%,
,"Non-TX, Non-US Resident",2,-66.7%,6,-40.0%,24,33.3%,,,32,-5.9%,
SCH,< 6 SCH,228,-22.2%,19,-36.7%,9,-76.9%,11,-21.4%,267,-29.0%,
Categories,6-8 SCH,187,-5.1%,33,371.4%,40,100.0%,146,14.1%,406,15.3%,
,9-11 SCH,66,0.0%,2,100.0%,4,100.0%,1,100.0%,73,5.8%,
,12-14 SCH,18,50.0%,,,1,100.0%,,,19,58.3%,
,15-17 SCH,3,50.0%,,,,,,,3,50.0%,
,>17 SCH,0,-100.0%,,,,,,,0,-100.0%,
Ft/Pt:,Less Than Half Time,83,-3.5%,8,300.0%,3,50.0%,1,-50.0%,95,3.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","184
7","-27.8%
133.3%",8,300.0%,"5
1","400.0%
100.0%",9,28.6%,"206
8","-22.3%
166.7%",
,Full-Time,228,0.0%,38,11.8%,45,-22.4%,148,11.3%,459,1.3%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
