Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,355",3.7%,322,-12.5%,380,0.0%,,,"3,057",1.3%,
Gender,Female,"1,122",2.4%,160,-14.4%,162,7.3%,,,"1,444",0.7%,
,Male,"1,233",4.9%,162,-10.5%,218,-4.8%,,,"1,613",1.8%,
Ethnicity,White,"1,911",2.5%,229,-9.1%,174,1.2%,,,"2,314",1.1%,
,Black,100,6.4%,10,25.0%,10,66.7%,,,120,11.1%,
,Hispanic,226,17.1%,26,4.0%,13,-7.1%,,,265,14.2%,
,Asian,53,20.5%,3,50.0%,7,0.0%,,,63,18.9%,
,American Indian,19,-20.8%,3,200.0%,2,100.0%,,,24,-4.0%,
,International,25,-3.8%,47,-29.9%,169,-5.1%,,,241,-11.1%,
,Unknown/Other,21,-19.2%,4,-69.2%,5,66.7%,,,30,-28.6%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,929,4.5%,2,0.0%,,,,,931,4.5%,
,22-25,"1,285",2.1%,168,-7.7%,29,61.1%,,,"1,482",1.6%,
,26-30,111,26.1%,115,-8.7%,156,-6.0%,,,382,0.5%,
,31-39,21,-16.0%,27,-43.8%,151,4.9%,,,199,-8.3%,
,40+,8,-27.3%,10,0.0%,44,-15.4%,,,62,-15.1%,
Enrollment,1st Time in College,9,50.0%,,,,,,,9,50.0%,
Status,1st Time PB,2,0.0%,3,-25.0%,,,,,5,-16.7%,
,1st Time Graduate,,,20,5.3%,7,600.0%,,,27,35.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,48,4.3%,,,,,,,48,4.3%,
,Readmitted,30,-42.3%,0,-100.0%,1,100.0%,,,31,-41.5%,
,Continuing,"2,266",4.7%,299,-13.1%,372,-1.8%,,,"2,937",1.7%,
Tuition,Resident Tuition,"2,219",3.8%,191,-11.2%,128,2.4%,,,"2,538",2.4%,
Status,Non-Resident Tuition,43,-41.1%,21,-27.6%,39,2.6%,,,103,-26.4%,
,Tuition  Exemption/Waiver,93,55.0%,110,-11.3%,213,-1.8%,,,416,3.7%,
Residency,Texas Resident,"2,244",4.5%,195,-10.6%,134,5.5%,,,"2,573",3.2%,
Status,"Non-TX, US Resident",86,-7.5%,80,-3.6%,77,4.1%,,,243,-2.8%,
,"Non-TX, Non-US Resident",25,-16.7%,47,-29.9%,169,-5.6%,,,241,-12.7%,
SCH,< 6 SCH,764,-0.3%,96,-67.5%,73,-78.1%,,,933,-33.1%,
Categories,6-8 SCH,943,5.2%,203,244.1%,296,640.0%,,,"1,442",44.9%,
,9-11 SCH,377,10.6%,17,54.5%,10,66.7%,,,404,12.8%,
,12-14 SCH,230,-2.5%,6,100.0%,1,100.0%,,,237,-0.8%,
,15-17 SCH,35,20.7%,,,,,,,35,20.7%,
,>17 SCH,6,100.0%,,,,,,,6,100.0%,
Ft/Pt:,Less Than Half Time,202,4.1%,42,-26.3%,39,-9.3%,,,283,-3.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","774
8","5.0%
-46.7%","26
1","333.3%
100.0%","14
1","1300.0%
100.0%",,,"814
10","9.4%
-33.3%",
,Full-Time,"1,371",3.5%,253,-17.0%,326,-3.0%,,,"1,950",-0.8%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
