Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,6,100.0%,110,22.2%,145,52.6%,,,261,41.1%,
Gender,Female,3,100.0%,58,26.1%,71,77.5%,,,132,53.5%,
,Male,3,100.0%,52,18.2%,74,34.5%,,,129,30.3%,
Ethnicity,White,,,61,64.9%,53,76.7%,,,114,70.1%,
,Black,,,2,-33.3%,1,100.0%,,,3,0.0%,
,Hispanic,,,8,60.0%,3,50.0%,,,11,57.1%,
,Asian,,,6,20.0%,3,0.0%,,,9,12.5%,
,American Indian,,,,,,,,,,,
,International,6,100.0%,33,-15.4%,82,43.9%,,,121,26.0%,
,Unknown/Other,,,0,-100.0%,3,0.0%,,,3,-25.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,1,100.0%,,,,,1,100.0%,
,22-25,6,100.0%,51,18.6%,12,71.4%,,,69,38.0%,
,26-30,,,37,15.6%,72,71.4%,,,109,47.3%,
,31-39,,,18,38.5%,50,28.2%,,,68,30.8%,
,40+,,,3,50.0%,11,57.1%,,,14,55.6%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,9,0.0%,,,,,9,0.0%,
,1st Time Graduate,,,5,-16.7%,1,0.0%,,,6,-14.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,6,100.0%,96,28.0%,144,53.2%,,,246,45.6%,
Tuition,Resident Tuition,,,60,50.0%,41,70.8%,,,101,57.8%,
Status,Non-Resident Tuition,6,100.0%,11,83.3%,12,-7.7%,,,29,52.6%,
,Tuition  Exemption/Waiver,,,39,-11.4%,92,58.6%,,,131,28.4%,
Residency,Texas Resident,,,61,48.8%,43,79.2%,,,104,60.0%,
Status,"Non-TX, US Resident",,,16,60.0%,20,53.8%,,,36,56.5%,
,"Non-TX, Non-US Resident",6,100.0%,33,-15.4%,82,41.4%,,,121,24.7%,
SCH,< 6 SCH,6,100.0%,44,-30.2%,19,-77.9%,,,69,-53.7%,
Categories,6-8 SCH,,,50,233.3%,122,1425.0%,,,172,647.8%,
,9-11 SCH,,,8,-11.1%,4,300.0%,,,12,20.0%,
,12-14 SCH,,,8,166.7%,,,,,8,166.7%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,1,100.0%,12,500.0%,16,33.3%,,,29,107.1%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,20,100.0%,1,0.0%,,,21,2000.0%,
,Full-Time,5,100.0%,78,-11.4%,128,56.1%,,,211,24.1%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
