Texas A&M University,,,,,
Office of Institutional Studies and Planning,,,,,
Demographic Summary,,,,,
for the Corps of Cadets Summer 2006,,,,,
Enrollment Profile – Summer 2006 Official Combined Summer Data – Not Certified,,,,,
,Summer 2006,Not in Corps,In Corps,Grand Total,
Head Count,Total,"17,308",723,"18,031",
Gender,Female,"8,501",69,"8,570",
,Male,"8,807",654,"9,461",
Ethnicity,White,"12,095",589,"12,684",
,Black,599,17,616,
,Hispanic,"1,632",87,"1,719",
,Asian,604,17,621,
,American Indian,78,4,82,
,International,"2,124",7,"2,131",
,Unknown/Other,176,2,178,
TAMU Age,<18,6,,6,
Categories,18-21,"6,085",322,"6,407",
,22-25,"7,044",372,"7,416",
,26-30,"2,232",25,"2,257",
,31-39,"1,368",4,"1,372",
,40+,573,,573,
College,Agriculture,"2,893",164,"3,057",
,Architecture,747,55,802,
,Business Admin,"1,942",59,"2,001",
,Education,"2,763",59,"2,822",
,Engineering,"3,207",115,"3,322",
,G. Bush School of Govt,40,2,42,
,Geosciences,316,22,338,
,Liberal Arts,"2,590",163,"2,753",
,Science,"1,159",24,"1,183",
,Veterinary Medicine,756,12,768,
,General Studies,635,47,682,
,Other - Special Populations,260,1,261,
Enrollment,1st Time in College,242,12,254,
Status,1st Time PB,51,1,52,
,1st Time Graduate,350,8,358,
,1st Time Professional,17,1,18,
,1st Time Transfer,187,2,189,
,Readmitted,119,4,123,
,Continuing,"16,342",695,"17,037",
Tuition,Resident Tuition,"13,790",613,"14,403",
Status,Non-Resident Tuition,903,9,912,
,Tuition Exemption/Waiver,"2,615",101,"2,716",
Residency,Texas Resident,"14,025",621,"14,646",
Status,"Non-TX, US Resident","1,148",95,"1,243",
,"Non-TX, Non-US Resident","2,135",7,"2,142",
SCH,< 6 SCH,"5,564",183,"5,747",
Categories,6-8 SCH,"7,688",290,"7,978",
,9-11 SCH,"2,450",128,"2,578",
,12-14 SCH,"1,418",109,"1,527",
,15-17 SCH,160,11,171,
,>17 SCH,28,2,30,
Ft/Pt:,Less Than Half Time,"1,565",38,"1,603",
"TAMU
Status","Half-Time
Three-Quarter Time","4,224
50","181
3","4,405
53",
,Full-Time,"11,469",501,"11,970",
"Prepared by OISP, 11 Aug 06",,,,,
