Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,618,-4.6%,229,-10.2%,336,-0.6%,,,"1,183",-4.7%,
Gender,Female,342,-3.9%,87,-32.6%,99,16.5%,,,528,-7.4%,
,Male,276,-5.5%,142,12.7%,237,-6.3%,,,655,-2.4%,
Ethnicity,White,435,-8.0%,116,-17.1%,116,4.5%,,,667,-7.9%,
,Black,22,-24.1%,5,25.0%,1,-66.7%,,,28,-22.2%,
,Hispanic,63,-4.5%,20,17.6%,20,33.3%,,,103,5.1%,
,Asian,67,15.5%,9,0.0%,14,27.3%,,,90,15.4%,
,American Indian,5,66.7%,2,-33.3%,2,100.0%,,,9,28.6%,
,International,5,-54.5%,75,-1.3%,179,-7.3%,,,259,-7.5%,
,Unknown/Other,21,162.5%,2,-66.7%,4,0.0%,,,27,50.0%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,376,-3.3%,1,100.0%,0,-100.0%,,,377,-3.3%,
,22-25,225,-7.4%,107,10.3%,47,-2.1%,,,379,-2.3%,
,26-30,12,0.0%,81,1.3%,181,5.8%,,,274,4.2%,
,31-39,4,33.3%,28,-17.6%,96,-10.3%,,,128,-11.1%,
,40+,0,-100.0%,12,-72.7%,12,9.1%,,,24,-57.1%,
Enrollment,1st Time in College,4,-20.0%,,,,,,,4,-20.0%,
Status,1st Time PB,0,-100.0%,5,-85.3%,,,,,5,-85.7%,
,1st Time Graduate,,,2,-77.8%,2,-50.0%,,,4,-69.2%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,9,200.0%,,,,,,,9,200.0%,
,Readmitted,3,-25.0%,,,,,,,3,-25.0%,
,Continuing,602,-5.2%,222,4.7%,334,0.0%,,,"1,158",-1.9%,
Tuition,Resident Tuition,566,-3.6%,85,-30.3%,63,10.5%,,,714,-6.8%,
Status,Non-Resident Tuition,24,50.0%,8,-20.0%,20,-45.9%,,,52,-17.5%,
,Tuition  Exemption/Waiver,28,-37.8%,136,10.6%,253,3.7%,,,417,1.2%,
Residency,Texas Resident,571,-2.7%,87,-29.3%,77,26.2%,,,735,-4.7%,
Status,"Non-TX, US Resident",43,-12.2%,67,19.6%,77,-3.8%,,,187,1.1%,
,"Non-TX, Non-US Resident",4,-66.7%,75,-1.3%,182,-7.6%,,,261,-8.4%,
SCH,< 6 SCH,273,6.2%,53,-75.0%,47,-85.4%,,,373,-52.8%,
Categories,6-8 SCH,235,-7.5%,174,443.8%,287,1813.3%,,,696,131.2%,
,9-11 SCH,87,-6.5%,2,-80.0%,1,0.0%,,,90,-13.5%,
,12-14 SCH,23,-46.5%,,,1,0.0%,,,24,-45.5%,
,15-17 SCH,0,-100.0%,0,-100.0%,,,,,0,-100.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,92,16.5%,4,-55.6%,15,0.0%,,,111,7.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","204
4","-2.4%
0.0%",15,650.0%,5,150.0%,,,"224
4","5.2%
0.0%",
,Full-Time,318,-10.7%,210,-13.9%,316,-1.6%,,,844,-8.4%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
