College Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F,,M,,Tot,,F,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,,M,Tot,,
Headcount Total,,,1,,4,,5,,,1,1,,,,,,,1,,1,1,1,,3,5,,8,
TAMU Age,<18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories,18-21,,1,,4,,5,,,1,1,,,,,,,1,,1,1,1,,3,5,,8,
Classification,Freshman,,1,,4,,5,,,1,1,,,,,,,1,,1,1,1,,3,5,,8,
Tuition Status,"Sophomore Junior
Resident Tuition",,1,,4,,5,,,1,1,,,,,,,1,,1,1,1,,3,5,,8,
Residency Status,"Non-Resident Tuition
Tuition Exemption/Waiver Texas Resident",,1,,4,,5,,,1,1,,,,,,,1,,1,1,1,,3,5,,8,
SCH Categories,"Non-TX, US Resident
< 6 SCH",,1,,2,,3,,,,,,,,,,,,,,,,,1,2,,3,
,6-8 SCH,,,,2,,2,,,1,1,,,,,,,1,,1,1,1,,2,3,,5,
Ft/Pt:  TAMU,"9-11 SCH
12-14 SCH
Half-Time",,1,,2,,3,,,,,,,,,,,,,,,,,1,2,,3,
Status,Full-Time,,,,2,,2,,,1,1,,,,,,,1,,1,1,1,,2,3,,5,
Top 10% Texas,No,,,,4,,4,,,1,1,,,,,,,,,,1,1,,1,5,,6,
High School,Yes,,1,,,,1,,,,,,,,,,,1,,1,,,,2,,,2,
First Generation,No,,1,,4,,5,,,,,,,,,,,1,,1,1,1,,3,4,,7,
,Unknown Yes,,,,,,,,,1,1,,,,,,,,,,,,,,1,,1,
Dorm / Off-campus,Off-campus,,1,,4,,5,,,1,1,,,,,,,1,,1,1,1,,3,5,,8,
students,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,,,,,,,,,,,,,,
