Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,021",1.0%,607,-5.7%,694,4.2%,,,"3,322",0.3%,
Gender,Female,385,-5.9%,116,-10.1%,105,4.0%,,,606,-5.2%,
,Male,"1,636",2.8%,491,-4.7%,589,4.2%,,,"2,716",1.6%,
Ethnicity,White,"1,461",2.6%,222,-2.2%,95,17.3%,,,"1,778",2.7%,
,Black,66,37.5%,19,-5.0%,12,71.4%,,,97,29.3%,
,Hispanic,227,-2.2%,20,-16.7%,17,6.3%,,,264,-2.9%,
,Asian,96,-20.7%,23,43.8%,13,8.3%,,,132,-11.4%,
,American Indian,4,-42.9%,,,1,100.0%,,,5,-28.6%,
,International,143,5.9%,321,-8.5%,555,1.3%,,,"1,019",-1.5%,
,Unknown/Other,24,-29.4%,2,-66.7%,1,-50.0%,,,27,-35.7%,
TAMU Age,<18,1,-66.7%,,,,,,,1,-66.7%,
Categories,18-21,978,7.8%,3,200.0%,,,,,981,8.0%,
,22-25,936,-5.1%,315,-13.5%,53,-8.6%,,,"1,304",-7.4%,
,26-30,84,0.0%,218,9.5%,345,0.3%,,,647,3.2%,
,31-39,16,-15.8%,60,-9.1%,256,8.9%,,,332,3.8%,
,40+,6,200.0%,11,-21.4%,40,37.9%,,,57,26.7%,
Enrollment,1st Time in College,13,8.3%,,,,,,,13,8.3%,
Status,1st Time PB,1,-50.0%,12,140.0%,,,,,13,85.7%,
,1st Time Graduate,,,22,-31.3%,9,-10.0%,,,31,-26.2%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,23,0.0%,,,,,,,23,0.0%,
,Readmitted,11,-26.7%,2,100.0%,3,100.0%,,,16,0.0%,
,Continuing,"1,973",1.2%,571,-5.8%,682,4.0%,,,"3,226",0.5%,
Tuition,Resident Tuition,"1,766",1.4%,204,-5.1%,84,21.7%,,,"2,054",1.4%,
Status,Non-Resident Tuition,155,-6.6%,115,3.6%,115,-9.4%,,,385,-4.7%,
,Tuition  Exemption/Waiver,100,6.4%,288,-9.4%,495,5.3%,,,883,0.1%,
Residency,Texas Resident,"1,783",1.8%,210,-6.7%,92,27.8%,,,"2,085",1.8%,
Status,"Non-TX, US Resident",91,-15.0%,75,15.4%,47,11.9%,,,213,-0.5%,
,"Non-TX, Non-US Resident",147,2.8%,322,-9.0%,555,0.5%,,,"1,024",-2.4%,
SCH,< 6 SCH,779,-1.0%,234,-53.0%,144,-75.5%,,,"1,157",-38.2%,
Categories,6-8 SCH,830,4.4%,364,200.8%,537,616.0%,,,"1,731",74.7%,
,9-11 SCH,324,0.6%,8,-63.6%,11,450.0%,,,343,-0.9%,
,12-14 SCH,84,-9.7%,1,-66.7%,2,100.0%,,,87,-10.3%,
,15-17 SCH,4,0.0%,,,0,-100.0%,,,4,-20.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,284,5.2%,119,3.5%,104,20.9%,,,507,7.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","624
9","-4.3%
-30.8%","52
1","940.0%
100.0%","20
3","400.0%
100.0%",,,"696
13","5.3%
0.0%",
,Full-Time,"1,104",3.6%,435,-17.0%,567,-1.6%,,,"2,106",-2.8%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
