University Total,,,,,,,,,,,,,,,,,,,,
Summer 2006,,,,,,,,,,,,,,,,,,,,
White,,,,,,,,,,,,,,,,,,,,
F            M           Tot,,,,,,,,,,,,,,,,,,,,
Black,,,,,,,,,,,,,,,,,,,,
F          M        Tot,,,,,,,,,,,,,,,,,,,,
Hispanic,,,,,,,,,,,,,,,,,,,,
F          M        Tot,,,,,,,,,,,,,,,,,,,,
Asian,,,,,,,,,,,,,,,,,,,,
F        M       Tot,,,,,,,,,,,,,,,,,,,,
American,,,,,,,,,,,,,,,,,,,,
Indian,,,,,,,,,,,,,,,,,,,,
F      M      Tot,,,,,,,,,,,,,,,,,,,,
Unknown/,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,
F       Tot,,,,,,,,,,,,,,,,,,,,
Grand Total,,,,,,,,,,,,,,,,,,,,
F        M        Tot,,,,,,,,,,,,,,,,,,,,
Headcount Total,,,,,,,,,,,,,,,,,,,,
TAMU Age,,,,,,,,,,,,,,,,,,,,
Categories Classification,,,,,,,,,,,,,,,,,,,,
Tuition Status,,,,,,,,,,,,,,,,,,,,
Residency Status SCH Categories,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,,,,,,,,,,,,,,,,,,,,
Top 10% Texas High School,,,,,,,,,,,,,,,,,,,,
First Generation,,,,,,,,,,,,,,,,,,,,
Dorm / Off-campus students,,,,,,,,,,,,,,,,,,,,
<18,,,,,,,,,,,,,,,,,,,,
18-21,,,,,,,,,,,,,,,,,,,,
Freshman Sophomore Junior,,,,,,,,,,,,,,,,,,,,
Resident Tuition,,,,,,,,,,,,,,,,,,,,
Non-Resident Tuition Tuition Exemption/Waiver Texas Resident,,,,,,,,,,,,,,,,,,,,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,
< 6 SCH,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,,,,,,,,,,,,,,,,,,,
Half-Time Full-Time No,,,,,,,,,,,,,,,,,,,,
Yes No,,,,,,,,,,,,,,,,,,,,
Unknown Yes,,,,,,,,,,,,,,,,,,,,
Off-campus,,,,,,,,,,,,,,,,,,,,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,
54              104              158             14             23             37             19             24             43            7            3            10          3          2              5          1              1            98      156              254,,,,,,,,,,,,,,,,,,,,
1                                 1                                                                 1                             1          1                           1                                           3                               3,,,,,,,,,,,,,,,,,,,,
54,104,158,13,23,36,19,24,43,6,3,9,2,2,4,1,1,95,156,251,
52,103,155,14,23,37,19,23,42,7,3,10,3,2,5,1,1,96,154,250,
1,1,2,,,,,1,1,,,,,,,,,1,2,3,
1,,1,,,,,,,,,,,,,,,1,,1,
52,90,142,13,21,34,19,21,40,7,2,9,2,2,4,1,1,94,136,230,
,,,,2,2,,,,,,,,,,,,,2,2,
2,14,16,1,,1,,3,3,,1,1,1,,1,,,4,18,22,
54,93,147,14,22,36,19,23,42,7,3,10,2,2,4,1,1,97,143,240,
,11,11,,1,1,,1,1,,,,1,,1,,,1,13,14,
6,5,11,,,,1,6,7,,,,,,,,,7,11,18,
6,20,26,2,12,14,3,1,4,1,1,2,2,1,3,1,1,15,35,50,
42,79,121,11,10,21,15,17,32,4,2,6,1,1,2,,,73,109,182,
,,,1,1,2,,,,2,,2,,,,,,3,1,4,
5,6,11,,,,1,1,2,,,,,,,,,6,7,13,
49,98,147,14,23,37,18,23,41,7,3,10,3,2,5,1,1,92,149,241,
51,99,150,12,23,35,17,23,40,5,2,7,2,1,3,1,1,88,148,236,
3,5,8,2,,2,2,1,3,2,1,3,1,1,2,,,10,8,18,
45,79,124,6,7,13,13,6,19,4,2,6,3,1,4,1,1,72,95,167,
,,,1,1,2,,,,,,,,,,,,1,1,2,
9,25,34,7,15,22,6,18,24,3,1,4,,1,1,,,25,60,85,
31,42,73,9,17,26,9,4,13,2,2,4,2,1,3,1,1,54,66,120,
23,62,85,5,6,11,10,20,30,5,1,6,1,1,2,,,44,90,134,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,,,,,,
