Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,359",-7.6%,131,15.9%,263,17.4%,,,"2,753",-4.7%,
Gender,Female,"1,401",-6.8%,69,21.1%,116,10.5%,,,"1,586",-4.7%,
,Male,958,-8.8%,62,10.7%,147,23.5%,,,"1,167",-4.7%,
Ethnicity,White,"1,912",-6.8%,73,17.7%,153,10.9%,,,"2,138",-5.0%,
,Black,75,-1.3%,6,-25.0%,7,75.0%,,,88,0.0%,
,Hispanic,278,-13.9%,25,13.6%,20,11.1%,,,323,-11.0%,
,Asian,61,10.9%,7,75.0%,4,0.0%,,,72,14.3%,
,American Indian,8,-20.0%,,,3,0.0%,,,11,-15.4%,
,International,10,-41.2%,17,21.4%,69,35.3%,,,96,17.1%,
,Unknown/Other,15,-28.6%,3,0.0%,7,16.7%,,,25,-16.7%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,092",-5.2%,1,100.0%,1,100.0%,,,"1,094",-5.0%,
,22-25,"1,167",-8.3%,69,25.5%,23,0.0%,,,"1,259",-6.7%,
,26-30,61,-33.0%,33,-5.7%,120,23.7%,,,214,-4.0%,
,31-39,22,-8.3%,16,-5.9%,85,9.0%,,,123,3.4%,
,40+,17,21.4%,12,100.0%,34,30.8%,,,63,37.0%,
Enrollment,1st Time in College,3,-50.0%,,,,,,,3,-50.0%,
Status,1st Time PB,1,100.0%,1,-50.0%,,,,,2,0.0%,
,1st Time Graduate,,,15,1400.0%,9,800.0%,,,24,1100.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,25,-21.9%,,,,,,,25,-21.9%,
,Readmitted,24,4.3%,0,-100.0%,1,100.0%,,,25,4.2%,
,Continuing,"2,306",-7.5%,115,5.5%,253,13.5%,,,"2,674",-5.3%,
Tuition,Resident Tuition,"2,225",-9.1%,64,20.8%,96,18.5%,,,"2,385",-7.6%,
Status,Non-Resident Tuition,57,3.6%,17,0.0%,37,19.4%,,,111,7.8%,
,Tuition  Exemption/Waiver,77,51.0%,50,16.3%,130,16.1%,,,257,24.8%,
Residency,Texas Resident,"2,259",-7.9%,69,25.5%,109,32.9%,,,"2,437",-5.9%,
Status,"Non-TX, US Resident",87,7.4%,45,2.3%,85,-5.6%,,,217,0.9%,
,"Non-TX, Non-US Resident",13,-31.6%,17,21.4%,69,32.7%,,,99,16.5%,
SCH,< 6 SCH,606,-3.7%,62,-25.3%,150,-14.3%,,,818,-7.8%,
Categories,6-8 SCH,990,-2.5%,63,125.0%,109,137.0%,,,"1,162",6.7%,
,9-11 SCH,404,-0.5%,6,500.0%,3,50.0%,,,413,1.0%,
,12-14 SCH,323,-31.6%,0,-100.0%,1,0.0%,,,324,-31.6%,
,15-17 SCH,28,16.7%,,,,,,,28,16.7%,
,>17 SCH,8,14.3%,,,,,,,8,14.3%,
Ft/Pt:,Less Than Half Time,82,-4.7%,25,19.0%,50,-2.0%,,,157,-0.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","692
1","-3.9%
0.0%","12
1","500.0%
100.0%",29,625.0%,,,"733
2","1.0%
100.0%",
,Full-Time,"1,584",-9.3%,93,3.3%,184,8.9%,,,"1,861",-7.2%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
