Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,521",-3.1%,410,21.7%,70,4.5%,,,"2,001",1.4%,
Gender,Female,816,-4.6%,192,24.7%,25,-19.4%,,,"1,033",-0.7%,
,Male,705,-1.4%,218,19.1%,45,25.0%,,,968,3.6%,
Ethnicity,White,"1,296",-5.7%,291,22.3%,32,14.3%,,,"1,619",-1.3%,
,Black,21,-19.2%,6,-25.0%,3,200.0%,,,30,-14.3%,
,Hispanic,117,31.5%,17,-5.6%,3,50.0%,,,137,25.7%,
,Asian,58,13.7%,20,150.0%,1,0.0%,,,79,31.7%,
,American Indian,9,-10.0%,1,0.0%,,,,,10,-9.1%,
,International,16,-5.9%,69,15.0%,29,-12.1%,,,114,3.6%,
,Unknown/Other,4,33.3%,6,50.0%,2,0.0%,,,12,33.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,969,3.4%,12,140.0%,,,,,981,4.1%,
,22-25,523,-14.4%,322,30.9%,1,0.0%,,,846,-1.4%,
,26-30,15,87.5%,53,-8.6%,29,3.6%,,,97,3.2%,
,31-39,9,28.6%,18,-28.0%,31,6.9%,,,58,-4.9%,
,40+,5,-28.6%,5,66.7%,9,0.0%,,,19,0.0%,
Enrollment,1st Time in College,8,-33.3%,,,,,,,8,-33.3%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,147,23.5%,6,100.0%,,,153,25.4%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,22,100.0%,,,,,,,22,100.0%,
,Readmitted,9,28.6%,1,100.0%,,,,,10,42.9%,
,Continuing,"1,482",-3.8%,262,20.2%,64,0.0%,,,"1,808",-0.8%,
Tuition,Resident Tuition,"1,470",-3.4%,324,24.1%,16,14.3%,,,"1,810",0.8%,
Status,Non-Resident Tuition,20,-9.1%,25,-3.8%,5,0.0%,,,50,-5.7%,
,Tuition  Exemption/Waiver,31,14.8%,61,22.0%,49,2.1%,,,141,12.8%,
Residency,Texas Resident,"1,475",-2.9%,325,24.5%,22,22.2%,,,"1,822",1.3%,
Status,"Non-TX, US Resident",29,-12.1%,16,0.0%,19,26.7%,,,64,0.0%,
,"Non-TX, Non-US Resident",17,-5.6%,69,15.0%,29,-14.7%,,,115,2.7%,
SCH,< 6 SCH,440,2.8%,173,7.5%,13,-78.0%,,,626,-3.4%,
Categories,6-8 SCH,633,-3.9%,98,42.0%,57,612.5%,,,788,7.1%,
,9-11 SCH,256,-3.0%,68,33.3%,,,,,324,2.9%,
,12-14 SCH,182,-11.7%,71,29.1%,,,,,253,-3.1%,
,15-17 SCH,9,-25.0%,0,-100.0%,,,,,9,-30.8%,
,>17 SCH,1,0.0%,,,,,,,1,0.0%,
Ft/Pt:,Less Than Half Time,33,-40.0%,23,-17.9%,5,-37.5%,,,61,-33.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","516
1","-1.1%
-87.5%","90
1","4400.0%
100.0%",3,200.0%,,,"609
2","16.0%
-75.0%",
,Full-Time,971,-1.4%,296,-3.6%,62,6.9%,,,"1,329",-1.6%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
