Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"12,703",-1.1%,"2,596",-2.4%,"2,574",4.5%,158,11.3%,"18,031",-0.4%,
Gender,Female,"6,295",-2.6%,"1,157",-4.8%,999,5.4%,119,9.2%,"8,570",-1.9%,
,Male,"6,408",0.4%,"1,439",-0.3%,"1,575",3.9%,39,18.2%,"9,461",0.9%,
Ethnicity,White,"10,048",-2.0%,"1,519",-1.2%,980,5.7%,137,7.0%,"12,684",-1.2%,
,Black,438,9.8%,85,1.2%,91,1.1%,2,100.0%,616,7.3%,
,Hispanic,"1,342",0.2%,190,0.5%,174,13.0%,13,85.7%,"1,719",1.8%,
,Asian,475,5.8%,85,30.8%,58,20.8%,3,0.0%,621,9.9%,
,American Indian,65,-15.6%,7,16.7%,10,42.9%,,,82,-8.9%,
,International,224,0.0%,679,-7.2%,"1,228",1.8%,,,"2,131",-1.4%,
,Unknown/Other,111,6.7%,31,-31.1%,33,3.1%,3,0.0%,178,-3.3%,
TAMU Age,<18,6,0.0%,,,,,,,6,0.0%,
Categories,18-21,"6,376",0.9%,24,140.0%,1,0.0%,6,500.0%,"6,407",1.2%,
,22-25,"5,774",-3.4%,"1,382",3.8%,193,-2.0%,67,3.1%,"7,416",-2.1%,
,26-30,385,2.4%,753,-6.1%,"1,056",6.5%,63,10.5%,"2,257",1.3%,
,31-39,112,-3.4%,302,-10.1%,941,5.6%,17,0.0%,"1,372",0.9%,
,40+,50,16.3%,135,-25.0%,383,0.0%,5,150.0%,573,-5.8%,
Enrollment,1st Time in College,254,18.1%,,,,,,,254,18.1%,
Status,1st Time PB,4,-33.3%,48,-55.6%,,,,,52,-54.4%,
,1st Time Graduate,,,315,20.7%,43,-6.5%,,,358,16.6%,
,1st Time Professional,,,,,,,18,100.0%,18,100.0%,
,1st Time Transfer,189,9.9%,,,,,,,189,9.9%,
,Readmitted,108,-12.2%,8,33.3%,7,250.0%,,,123,-6.1%,
,Continuing,"12,148",-1.5%,"2,225",-2.6%,"2,524",4.5%,140,-1.4%,"17,037",-0.8%,
Tuition,Resident Tuition,"11,906",-1.6%,"1,480",-2.5%,872,3.3%,145,11.5%,"14,403",-1.3%,
Status,Non-Resident Tuition,359,-10.9%,269,7.6%,281,-5.7%,3,200.0%,912,-4.2%,
,Tuition  Exemption/Waiver,438,29.6%,847,-4.9%,"1,421",7.5%,10,-9.1%,"2,716",6.0%,
Residency,Texas Resident,"12,032",-0.8%,"1,516",-1.6%,951,10.2%,147,13.1%,"14,646",-0.1%,
Status,"Non-TX, US Resident",440,-6.6%,400,4.7%,392,2.6%,11,-8.3%,"1,243",-0.3%,
,"Non-TX, Non-US Resident",231,-3.8%,680,-7.7%,"1,231",1.0%,,,"2,142",-2.5%,
SCH,< 6 SCH,"4,032",-1.5%,945,-43.8%,759,-62.4%,11,-21.4%,"5,747",-26.3%,
Categories,6-8 SCH,"4,902",-1.0%,"1,271",108.4%,"1,659",371.3%,146,14.1%,"7,978",32.1%,
,9-11 SCH,"2,219",4.4%,243,-7.3%,115,45.6%,1,100.0%,"2,578",4.5%,
,12-14 SCH,"1,357",-11.2%,131,32.3%,39,160.0%,,,"1,527",-7.0%,
,15-17 SCH,163,28.3%,6,0.0%,2,0.0%,,,171,26.7%,
,>17 SCH,30,50.0%,0,-100.0%,,,,,30,42.9%,
Ft/Pt:,Less Than Half Time,898,-1.5%,274,-2.5%,430,8.3%,1,-50.0%,"1,603",0.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","3,949
40","-2.7%
-32.2%","327
8","834.3%
100.0%","120
5","380.0%
100.0%",9,28.6%,"4,405
53","6.7%
-10.2%",
,Full-Time,"7,816",0.1%,"1,987",-15.2%,"2,019",-1.1%,148,11.3%,"11,970",-2.9%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
