Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Summer 2006,,,,,,,,,,,,
Enrollment Profile – Summer 2006 Official Combined Summer Data – Not Certified,,,,,,,,,,,,
Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"5,076",-3.4%,760,-1.3%,474,6.3%,105,8.2%,"6,415",-2.3%,
,Black,206,6.2%,48,-11.1%,61,0.0%,,,315,1.9%,
,Hispanic,653,-1.4%,97,0.0%,99,12.5%,10,66.7%,859,0.7%,
,Asian,216,3.8%,38,26.7%,24,9.1%,1,-66.7%,279,6.1%,
,American Indian,31,-8.8%,5,0.0%,7,75.0%,,,43,0.0%,
,International,64,0.0%,195,-18.4%,322,1.6%,,,581,-6.3%,
,Unknown/Other,49,14.0%,14,-30.0%,12,20.0%,3,0.0%,78,2.6%,
,Subtotal,"6,295",-2.6%,"1,157",-4.8%,999,5.4%,119,9.2%,"8,570",-1.9%,
Male,White,"4,972",-0.5%,759,-1.2%,506,5.2%,32,3.2%,"6,269",-0.1%,
,Black,232,13.2%,37,23.3%,30,3.4%,2,100.0%,301,13.6%,
,Hispanic,689,1.8%,93,1.1%,75,13.6%,3,200.0%,860,2.9%,
,Asian,259,7.5%,47,34.3%,34,30.8%,2,100.0%,342,13.2%,
,American Indian,34,-20.9%,2,100.0%,3,0.0%,,,39,-17.0%,
,International,160,0.0%,484,-1.8%,906,1.9%,,,"1,550",0.5%,
,Unknown/Other,62,1.6%,17,-32.0%,21,-4.5%,,,100,-7.4%,
,Subtotal,"6,408",0.4%,"1,439",-0.3%,"1,575",3.9%,39,18.2%,"9,461",0.9%,
Grand Total,,"12,703",-1.1%,"2,596",-2.4%,"2,574",4.5%,158,11.3%,"18,031",-0.4%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
