Country,Undergraduate,Masters,PhD,Professional,Total Students
Albania,,1,,,1
Algeria,,,1,,1
Angola,,1,,,1
Antigua and Barbuda,,,1,,1
Argentina,,2,5,,7
Armenia,,,2,,2
Australia,1,1,,,2
Austria,,,2,,2
Azerbaijan,,3,,,3
Bahrain,,1,,,1
Bangladesh,4,8,8,,20
Barbados,,1,,,1
Belarus,,1,4,,5
Belgium,1,,,,1
Belize (British Honduras),1,,,,1
Bolivia,4,,1,,5
Bosnia-Herzegovina,1,,,,1
Botswana,,,2,,2
Brazil,1,6,10,,17
Bulgaria,,,6,,6
Burma (Myanmar),,,1,,1
Cambodia (Kampuchea),,1,,,1
Cameroon,2,,1,,3
Canada,6,8,17,,31
Chile,,3,8,,11
"China, People's Rep of",6,101,311,,418
Colombia,3,21,25,,49
Costa Rica,5,,1,,6
Cote d'Ivoire (Ivory Coast),1,,1,,2
Croatia,1,,,,1
Czech Republic,,1,1,,2
Denmark,,1,,,1
Dominica,,,1,,1
Dominican Republic,1,1,1,,3
Ecuador,4,5,4,,13
Egypt (A.R.E.),1,,16,,17
El Salvador,,3,,,3
Equatorial Guinea,1,,,,1
Eritrea,1,,1,,2
Estonia,,1,,,1
Ethiopia,1,1,1,,3
France,2,8,7,,17
