College Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American,,,Unknown/,,,,
Summer 2006,,,,,,,,,,,,,,White,,,,,,,,Black,,,,Hispanic,,,,,,,Asian,,,,,,,Indian,,,Other,,Grand Total,,
F,,,M,,,Tot,,F,M,Tot,,F,,,M,,Tot,,,F,,M,Tot,F,M,,Tot,,F,Tot,,,F,,,M,,Tot,,,,,,,,,
,2,,,1,,,3,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,4,1,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,,,,,,
,2,,,1,,,3,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,3,1,,,,,4,,,,,,
,2,,,1,,,3,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,4,1,,,,,5,,,,,,
Headcount Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMU Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories Classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status SCH Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 10% Texas High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorm / Off-campus students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freshman Sophomore Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Resident Tuition Tuition Exemption/Waiver Texas Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time Full-Time No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off-campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,,2,,,,,,2,,,,,,,,,,,2,,,,,,3,,,,,,1,,,4,,,,,,,,,,
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
2,,1,,,3,,,,,,2,,,,,,,,,,,2,,,,,,4,,,,,,1,,,5,,,,,,,,,,
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
1,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,2,,,,,,,,,2,,,,,,,,,,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
1,,1,,,2,,,,,,2,,,,,,,,,,,2,,,,,,3,,,,,,1,,,4,,,,,,,,,,
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
1,,1,,,2,,,,,,2,,,,,,,,,,,2,,,,,,3,,,,,,1,,,4,,,,,,,,,,
2,,1,,,3,,,,,,1,,,,,,,,,,,1,,,,,,3,,,,,,1,,,4,,,,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,
2,,,,,2,,,,,,2,,,,,,,,,,,2,,,,,,4,,,,,,,,,4,,,,,,,,,,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
