"Summer 2006
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations              COFD
SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
4
4
5
5
202
202
254","1st Time PB
4","1st Time Transfer
8
1
9
8
8
189","Readmitted
1
1
1
3
3
3
5
5
108","Continuing
400
91
74
37
602
494
494
467
467
6
6
12,148",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,3,1,8,31,1,7,41,18,140,485,
,,,,,,,,,87,,,144,,,323,
,,,,,,,,,43,,,49,,,172,
,,,,,,1,1,,41,1,,73,,,155,
,,,,,,1,,,20,,,27,,,48,
,,,,,,5,2,,222,2,,334,,,"1,183",
,,,,,,,,,,,,,,,660,
,,,,,,,3,,19,,,13,,,35,
,,,,,,,,,5,,,,,,5,
,,,,,,,,,1,,,,,,1,
,,,,,,,3,,17,,,30,,,50,
,,,,,,3,1,,2,,,11,,,17,
,,,,,,3,7,,44,,,54,18,140,768,
,,,,,,,,,,,,,,,682,
,,,,,,,,,,,,,,,682,
,,,,,,1,,,1,,,,,,2,
,,,,,,,5,,95,1,,144,,,245,
,,,,,,,,,,,,,,,6,
,,,,,,8,,,,,,,,,8,
,,,,,,9,5,,96,1,,144,,,261,
,,,,,,48,315,,"2,225",43,,"2,524",18,140,"18,031",
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,,
