Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,682,-1.7%,,,,,,,682,-1.7%,
Gender,Female,287,-10.0%,,,,,,,287,-10.0%,
,Male,395,5.3%,,,,,,,395,5.3%,
Ethnicity,White,487,2.7%,,,,,,,487,2.7%,
,Black,55,-1.8%,,,,,,,55,-1.8%,
,Hispanic,97,-19.2%,,,,,,,97,-19.2%,
,Asian,28,-15.2%,,,,,,,28,-15.2%,
,American Indian,8,100.0%,,,,,,,8,100.0%,
,International,6,50.0%,,,,,,,6,50.0%,
,Unknown/Other,1,-66.7%,,,,,,,1,-66.7%,
TAMU Age,<18,2,-33.3%,,,,,,,2,-33.3%,
Categories,18-21,659,-1.2%,,,,,,,659,-1.2%,
,22-25,19,-9.5%,,,,,,,19,-9.5%,
,26-30,2,0.0%,,,,,,,2,0.0%,
,31-39,,,,,,,,,,,
,40+,0,-100.0%,,,,,,,0,-100.0%,
Enrollment,1st Time in College,202,26.3%,,,,,,,202,26.3%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,8,700.0%,,,,,,,8,700.0%,
,Readmitted,5,150.0%,,,,,,,5,150.0%,
,Continuing,467,-12.1%,,,,,,,467,-12.1%,
Tuition,Resident Tuition,632,-4.5%,,,,,,,632,-4.5%,
Status,Non-Resident Tuition,16,0.0%,,,,,,,16,0.0%,
,Tuition  Exemption/Waiver,34,112.5%,,,,,,,34,112.5%,
Residency,Texas Resident,646,-3.1%,,,,,,,646,-3.1%,
Status,"Non-TX, US Resident",30,30.4%,,,,,,,30,30.4%,
,"Non-TX, Non-US Resident",6,50.0%,,,,,,,6,50.0%,
SCH,< 6 SCH,204,11.5%,,,,,,,204,11.5%,
Categories,6-8 SCH,205,-21.2%,,,,,,,205,-21.2%,
,9-11 SCH,235,12.4%,,,,,,,235,12.4%,
,12-14 SCH,38,-9.5%,,,,,,,38,-9.5%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,14,0.0%,,,,,,,14,0.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","221
3","1.8%
-25.0%",,,,,,,"221
3","1.8%
-25.0%",
,Full-Time,444,-3.3%,,,,,,,444,-3.3%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
