Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Demographic Summary by Entry Status,,,,,,,,,,,,
Summer 2006,,,,,,,,,,,,
Enrollment Profile – Summer 2006 Official Combined Summer Data – Not Certified,,,,,,,,,,,,
"Summer 2006
Head Count       Total
Gender               Female Male
Ethnicity            White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Student              Lower
Level                 Upper Masters PhD Professional
Tuition               Resident Tuition
Status                 Non-Resident Tuition Tuition Exemption/Waiver
Residency          Texas Resident
Status                 Non-TX, US Resident
Non-TX, Non-US Resident
SCH                   < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                  Less Than Half Time
TAMU               Half-Time
Status                 Three-Quarter Time Full-Time",Undergraduate,,,,,Graduate,,,,Professional,,
,"1st Time in College
254
98
156
158
37
43
10
5
1
3
251
9
1
8
9
13
3
4
5
202
253
1
230
2
22
240
14
18
50
182
4
13
241","1st Time PB
4
3
1
3
1
2
1
1
2
1
1
4
2
2
4
2
2
4","1st Time Transfer
189
79
110
149
3
24
6
3
3
1
109
57
16
4
3
48
5
22
49
23
25
9
8
90
99
181
7
1
184
2
3
64
84
22
19
5
81
103","Readmitted
108
43
65
89
2
13
4
12
70
21
3
2
30
2
9
15
11
6
24
3
3
5
24
84
103
4
1
104
4
32
33
17
24
1
1
4
35
1
68","Continuing
12,148
6,072
6,076
9,649
396
1,261
455
57
221
109
3
6,004
5,645
347
105
44
2,266
564
1,482
1,826
1,973
162
2,306
602
494
467
6
1,677
10,471
11,390
346
412
11,500
420
228
3,916
4,733
1,998
1,310
162
29
889
3,816
39
7,404",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,
,,,,,,48,358,15,"4,749",18,140,
,,,,,,20,201,5,"1,930",13,106,
,,,,,,28,157,10,"2,819",5,34,
,,,,,,31,262,11,"2,195",14,123,
,,,,,,4,8,,164,,2,
,,,,,,7,22,2,333,2,11,
,,,,,,,16,,127,,3,
,,,,,,,1,,16,,,
,,,,,,4,45,2,"1,856",,,
,,,,,,2,4,,58,2,1,
,,,,,,2,12,,11,5,1,
,,,,,,13,224,3,"1,335",9,58,
,,,,,,14,72,2,"1,721",3,60,
,,,,,,12,32,6,"1,193",1,16,
,,,,,,7,18,4,489,,5,
,,,,,,3,27,1,671,,,
,,,,,,1,12,1,216,,,
,,,,,,,153,1,326,,,
,,,,,,7,89,6,821,,,
,,,,,,12,31,5,"1,253",,,
,,,,,,5,,,37,,,
,,,,,,2,5,,163,,,
,,,,,,1,24,1,368,,,
,,,,,,5,4,,556,,,
,,,,,,3,7,,98,18,140,
,,,,,,9,6,,240,,,
,,,,,,48,315,8,"2,225",,,
,,,,,,,43,7,"2,524",,,
,,,,,,,,,,18,140,
,,,,,,43,277,13,"2,019",18,127,
,,,,,,2,32,1,515,,3,
,,,,,,3,49,1,"2,215",,10,
,,,,,,43,290,13,"2,121",18,129,
,,,,,,1,23,,768,,11,
,,,,,,4,45,2,"1,860",,,
,,,,,,37,76,9,"1,582",7,4,
,,,,,,6,136,3,"2,785",11,135,
,,,,,,4,85,1,268,,1,
,,,,,,1,60,2,107,,,
,,,,,,,1,,7,,,
,,,,,,3,2,2,697,,1,
,,,,,,14,23,1,409,7,2,
,,,,,,,,,13,,,
,,,,,,31,333,12,"3,630",11,137,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
