College Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,American,,,Unknown/,,,,
Summer 2006,,,,,,,,,,,,White,,,,,,,,Black,,,,,Hispanic,,,,,,Asian,,,,,,,Indian,,,Other,,Grand Total,,
F,,M,,Tot,,F,,M,,Tot,F,,M,,,Tot,,,F,M,Tot,,F,M,,Tot,,F,Tot,,F,,M,,,Tot,,,,,,,,,
,,,5,,5,,,,3,3,,,,,,,,,,,,,,1,,1,,,,,,,9,,,,,,9,,,,,,
,,,5,,5,,,,3,3,,,,,,,,,,,,,,1,,1,,,,,,,9,,,,,,9,,,,,,
,,,4,,4,,,,3,3,,,,,,,,,,,,,,1,,1,,,,,,,8,,,,,,8,,,,,,
,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
,,,5,,5,,,,3,3,,,,,,,,,,,,,,1,,1,,,,,,,9,,,,,,9,,,,,,
Headcount Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMU Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories Classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status SCH Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 10% Texas High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorm / Off-campus students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freshman Sophomore Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Resident Tuition Tuition Exemption/Waiver Texas Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time Full-Time No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off-campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,3,,,3,,,,,,,1,,,,,,,,1,,,,,9,,,,,9,,,,,,,,,,,,,
4,4,,,2,,,2,,,,,,,1,,,,,,,,1,,,,,7,,,,,7,,,,,,,,,,,,,
1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
4,4,,,3,,,3,,,,,,,1,,,,,,,,1,,,,,8,,,,,8,,,,,,,,,,,,,
5,5,,,3,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,8,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,
3,3,,,1,,,1,,,,,,,1,,,,,,,,1,,,,,5,,,,,5,,,,,,,,,,,,,
2,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,4,,,,,4,,,,,,,,,,,,,
4,4,,,3,,,3,,,,,,,1,,,,,,,,1,,,,,8,,,,,8,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
