Summer 2006,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
G. Bush,BUSH,13,8.3%,8,-75.8%,25,-3.8%,,,8,-75.8%,
"School of
Govt",CAIA CHLS,,,"13
4","100.0%
100.0%",,,,,"13
4","100.0%
100.0%",
,INTA,,,17,-75.7%,,,,,17,-75.7%,
,Subtotal,,,42,-59.2%,,,,,42,-59.2%,
Geosciences,ATMO,,,21,-16.0%,,,,,46,-9.8%,
,ENGS,,,,,,,,,13,8.3%,
,ENST,21,16.7%,,,,,,,21,16.7%,
,GEOG,54,5.9%,11,-8.3%,10,-28.6%,,,75,-2.6%,
,GEOL,38,18.8%,20,5.3%,17,13.3%,,,75,13.6%,
,GEOP,7,16.7%,3,-66.7%,8,-27.3%,,,18,-30.8%,
,GEOS,,,5,25.0%,,,,,5,25.0%,
,METR,35,-16.7%,,,,,,,35,-16.7%,
,OCNG,,,29,16.0%,21,-4.5%,,,50,6.4%,
,Subtotal,168,4.3%,89,-5.3%,81,-8.0%,,,338,-1.5%,
Liberal Arts,AMST,10,-28.6%,,,,,,,10,-28.6%,
,ANTH,51,2.0%,20,33.3%,12,0.0%,,,83,7.8%,
,COML,,,1,-50.0%,,,,,1,-50.0%,
,ECON,211,-21.6%,25,177.8%,37,76.2%,,,273,-8.7%,
,ENGL,293,12.7%,10,66.7%,41,32.3%,,,344,15.8%,
,FREN,5,-16.7%,,,,,,,5,-16.7%,
,GERM,1,-66.7%,,,,,,,1,-66.7%,
,HISP,,,0,-100.0%,3,200.0%,,,3,50.0%,
,HIST,250,-7.1%,15,15.4%,16,45.5%,,,281,-4.1%,
,INTS,155,-4.3%,,,,,,,155,-4.3%,
,JOUR,8,-73.3%,,,,,,,8,-73.3%,
,MODL,,,1,-66.7%,,,,,1,-66.7%,
,MUSC,8,0.0%,,,,,,,8,0.0%,
,PHIL,38,-11.6%,6,100.0%,5,66.7%,,,49,0.0%,
,POLS,392,-1.3%,4,-55.6%,53,6.0%,,,449,-1.5%,
,PSYC,434,-14.1%,29,38.1%,44,-12.0%,,,507,-12.0%,
,RUSS,3,-25.0%,,,,,,,3,-25.0%,
,SCOM,268,-6.0%,12,-7.7%,29,31.8%,,,309,-3.4%,
,SOCI,140,-6.7%,8,-46.7%,23,0.0%,,,171,-9.0%,
,SPAN,47,-6.0%,,,,,,,47,-6.0%,
,STJR,,,0,-100.0%,,,,,0,-100.0%,
,TCMS,28,47.4%,,,,,,,28,47.4%,
,THAR,17,-41.4%,,,,,,,17,-41.4%,
,Subtotal,"2,359",-7.6%,131,15.9%,263,17.4%,,,"2,753",-4.7%,
"Prepared by OISP, 11 Aug 06",,,,,,,,,,,,
