Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Education,BIED,,,,,,,,3,3,,,,,3
,CPSY,,,,,,,,4,4,11,11,,,15
,EDAD,,,,,,,,44,44,83,83,,,127
,EDCI,,,,,,,4,155,159,80,80,,,239
,EDHL,46,101,161,37,,345,,,,,,,,345
,EDIS,106,177,127,37,1,448,,,,,,,,448
,EDKI,76,132,140,50,,398,,,,,,,,398
,EDSM,24,42,54,17,1,138,,,,,,,,138
,EDTC,,,,,,,,9,9,,,,,9
,EHRD,,,,,,,,53,53,29,29,,,82
,EPSY,,,,,,,1,14,15,35,35,,,50
,HEED,,,,,,,,19,19,5,5,,,24
,HLTH,,,15,185,,200,,,,,,,,200
,HRDL,5,5,46,18,,74,,,,,,,,74
,HRDV,,,11,82,,93,,,,,,,,93
,INST,2,23,169,605,1,800,,,,,,,,800
,KINE,,,13,202,4,219,,23,23,25,25,,,267
,NUTR,,,,,,,,,,,,,,
,PHED,,,,,,,,1,1,,,,,1
,SPED,,,,,,,,14,14,,,,,14
,SPMT,,,22,112,,134,,31,31,,,,,165
,SPSY,,,,,,,,3,3,19,19,,,22
,TCMG,,,3,28,,31,,,,,,,,31
,TCML,1,5,22,12,,40,,,,,,,,40
,TECR,,,,,7,7,,,,,,,,7
,USEH,,,1,1,,2,,,,,,,,2
,Subtotal,260,485,784,"1,386",14,"2,929",5,373,378,287,287,,,"3,594"
