Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Liberal Arts,"USLA WGST
Subtotal",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,1,,5,,7,,,,,,,,7,
"Science
Veterinary Medicine
General Studies
Other - Special Populations
University",APHY,,,,,,,,,,,,,,,
,APMS,,,,,,,,,,,,,,,
,BIOL,,,1,1,,2,,,,,,,,2,
,BMCB,,,,,,,,,,,,,,,
,BOTN,,,,,,,,,,,,,,,
,CHEM,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,MATH,,1,,,,1,,,,,,,,1,
,MBIO,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,,,,,,,,,,,,,,,
,STAT,,,,,,,,,,,,,,,
,USSC,,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,,,,,,
,Subtotal,,1,1,1,,3,,,,,,,,3,
,BIMS,1,,1,,,2,,,,,,,,2,
,BIOT,,,,,,,,,,,,,,,
,EPID,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,,,,
,VTMI,,,,,,,,,,,,,,,
,Subtotal,1,,1,,,2,,,,,,,,2,
,GEST,1,3,1,,,5,,,,,,,,5,
,TEAM,1,1,,,,2,,,,,,,,2,
,Subtotal,2,4,1,,,7,,,,,,,,7,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,,,,,,,,,
,PHLT,,,,,,,,,,,,,,,
,REEP,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
,Total,4,12,11,14,,41,1,1,2,2,2,,,45,
"Prepared by DARS, 20 Jun 12",,,,,,,,,,,,,,,,
