Spring 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,7,8,15,,,,,,2,,2,4,6,10,,,1,,1,,,,,,,14,14,28,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,6,8,14,,,,,,2,,2,2,4,6,,,1,,1,,,,,,,11,12,23,
,22-25,1,,1,,,,,,,,,2,2,4,,,,,,,,,,,,3,2,5,
,26-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,3,6,9,,,,,,1,,1,2,2,4,,,,,,,,,,,,6,8,14,
,Junior,3,2,5,,,,,,1,,1,2,2,4,,,,,,,,,,,,6,4,10,
,Senior,1,,1,,,,,,,,,,2,2,,,1,,1,,,,,,,2,2,4,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,6,6,12,,,,,,2,,2,4,6,10,,,,,,,,,,,,12,12,24,
,Non-Resident Tuition,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,2,,2,
,Tuition,,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,6,7,13,,,,,,2,,2,4,6,10,,,1,,1,,,,,,,13,13,26,
,"Non-TX, US Resident",1,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,1,,1,,1,1,,,,,,,,,,,,1,1,2,
,12-14 SCH,6,7,13,,,,,,1,,1,4,4,8,,,,,,,,,,,,11,11,22,
,15-17 SCH,1,,1,,,,,,,,,,1,1,,,1,,1,,,,,,,2,1,3,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Half-Time,,,,,,,,,1,,1,,1,1,,,,,,,,,,,,1,1,2,
,Full-Time,7,7,14,,,,,,1,,1,4,5,9,,,1,,1,,,,,,,13,12,25,
,No,3,5,8,,,,,,2,,2,4,4,8,,,1,,1,,,,,,,10,9,19,
,Yes,4,3,7,,,,,,,,,,2,2,,,,,,,,,,,,4,5,9,
,No,5,4,9,,,,,,1,,1,2,2,4,,,1,,1,,,,,,,9,6,15,
,Unknown,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,
,Yes,2,3,5,,,,,,1,,1,2,3,5,,,,,,,,,,,,5,6,11,
,1.00,6,5,11,,,,,,,,,4,5,9,,,1,,1,,,,,,,11,10,21,
,2.00,1,3,4,,,,,,2,,2,,1,1,,,,,,,,,,,,3,4,7,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
