Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,,,,,,,,,
,AGBL,2,1,,,,3,,,,,,,,3,
,AGBU,,,2,1,,3,,1,1,,,,,4,
,AGCJ,,2,1,4,,7,,,,,,,,7,
,AGEC,,,1,3,,4,,1,1,,,,,5,
,AGLS,,1,,1,,2,,,,,,,,2,
,AGRO,,,2,,,2,,,,,,,,2,
,AGSC,,,2,,,2,,,,,,,,2,
,AGSM,,1,1,,,2,,,,,,,,2,
,ALEC,,,,,,,,1,1,,,,,1,
,ALED,,1,3,2,,6,,,,,,,,6,
,ANBR,,,,,,,,,,,,,,,
,ANSC,2,4,5,5,,16,,1,1,,,,,17,
,BAEN,,3,4,1,,8,,,,,,,,8,
,BESC,1,,1,4,,6,,,,,,,,6,
,BICH,,1,1,2,,4,,2,2,,,,,6,
,BIOT,,,,,,,,,,,,,,,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,1,1,1,,3,,,,,,,,3,
,FISC,,,,,,,,,,,,,,,
,FIVL,,,,,,,,,,,,,,,
,FIVS,,,,1,,1,,,,,,,,1,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,,,,,,,,
,FSTC,,1,1,3,,5,,,,,,,,5,
,GENE,1,,,2,,3,,,,,,,,3,
,HORT,,,1,1,,2,,,,,,,,2,
,MEPS,,,,,,,,,,,,,,,
,NRDV,,,,,,,,1,1,,,,,1,
,NUSC,2,1,3,2,,8,,,,,,,,8,
,NUTR,,,,,,,,,,,,,,,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,1,1,,,,,1,
,POSC,,,,1,,1,,1,1,,,,,2,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,,,,,,
,PSSC,,,1,,,1,,,,,,,,1,
,RENR,,,,,,,,,,,,,,,
,RLEM,,1,,2,,3,,,,,,,,3,
,RPTS,,4,2,1,,7,,,,,,,,7,
,SOSC,,,,,,,,,,,,,,,
