Texas A&M University Student Enrollment Summary Student Head Count by Level (College Station Campus),,,,,,,,,,,,
"University Summary, Spring 2012",,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
College,"Total Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary  Medicine General Studies
Other - Special Populations","37,155",100.0%,"4,957",100.0%,"3,986",100.0%,520,100.0%,"46,618",100.0%,
,,"5,550",14.9%,651,13.1%,622,15.6%,,,"6,823",14.6%,
,,"1,344",3.6%,341,6.9%,107,2.7%,,,"1,792",3.8%,
,,"4,058",10.9%,699,14.1%,68,1.7%,,,"4,825",10.4%,
,,"3,777",10.2%,609,12.3%,650,16.3%,,,"5,036",10.8%,
,,"7,750",20.9%,"1,436",29.0%,"1,213",30.4%,,,"10,399",22.3%,
,,,,343,6.9%,,,,,343,.7%,
,,648,1.7%,177,3.6%,157,3.9%,,,982,2.1%,
,,"6,265",16.9%,263,5.3%,534,13.4%,,,"7,062",15.1%,
,,"2,201",5.9%,312,6.3%,556,13.9%,,,"3,069",6.6%,
,,"1,518",4.1%,77,1.6%,79,2.0%,520,100.0%,"2,194",4.7%,
,,"3,982",10.7%,,,,,,,"3,982",8.5%,
,,62,.2%,49,1.0%,,,,,111,.2%,
"Gender Ethnicity
TAMU Age
Categories
Enrollment Status
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation",Female,"17,677",47.6%,"2,104",42.4%,"1,562",39.2%,397,76.3%,"21,740",46.6%,
,Male,"19,478",52.4%,"2,853",57.6%,"2,424",60.8%,123,23.7%,"24,878",53.4%,
,White Only (NEW),"26,332",70.9%,"2,576",52.0%,"1,367",34.3%,442,85.0%,"30,717",65.9%,
,American Indian Only (NEW),122,.3%,11,.2%,10,.3%,1,.2%,144,.3%,
,Asian Only (NEW),"1,778",4.8%,209,4.2%,109,2.7%,16,3.1%,"2,112",4.5%,
,Black Only + 2 or more/1 Black,"1,217",3.3%,166,3.3%,205,5.1%,5,1.0%,"1,593",3.4%,
,(NEW),,,,,,,,,,,
,Hispanic or Latino of any Race,"6,252",16.8%,418,8.4%,350,8.8%,47,9.0%,"7,067",15.2%,
,(NEW),,,,,,,,,,,
,Native Hawaii Only (New),41,.1%,2,.0%,2,.1%,,,45,.1%,
,2 or More/Excluding Black (NEW),725,2.0%,61,1.2%,22,.6%,2,.4%,810,1.7%,
,International,612,1.6%,"1,471",29.7%,"1,888",47.4%,,,"3,971",8.5%,
,Unknown or Not Reported,76,.2%,43,.9%,33,.8%,7,1.3%,159,.3%,
,<18,7,.0%,,,,,,,7,.0%,
,18-21,"21,854",58.8%,9,.2%,,,1,.2%,"21,864",46.9%,
,22-25,"14,364",38.7%,"2,559",51.6%,279,7.0%,255,49.0%,"17,457",37.4%,
,26-30,603,1.6%,"1,470",29.7%,"1,828",45.9%,226,43.5%,"4,127",8.9%,
,31-39,241,.6%,587,11.8%,"1,380",34.6%,33,6.3%,"2,241",4.8%,
,40+,86,.2%,332,6.7%,499,12.5%,5,1.0%,922,2.0%,
,1st Time in College,103,.3%,,,,,,,103,.2%,
,1st Time PB,,,116,2.3%,,,,,116,.2%,
,1st Time Graduate,,,388,7.8%,125,3.1%,,,513,1.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,673,1.8%,,,,,,,673,1.4%,
,Readmitted,245,.7%,22,.4%,10,.3%,,,277,.6%,
,Continuing,"36,134",97.3%,"4,431",89.4%,"3,851",96.6%,520,100.0%,"44,936",96.4%,
,Resident Tuition,"34,254",92.2%,"2,682",54.1%,"1,319",33.1%,483,92.9%,"38,738",83.1%,
,Non-Resident  Tuition,860,2.3%,889,17.9%,407,10.2%,6,1.2%,"2,162",4.6%,
,Tuition  Exemption/Waiver,"2,041",5.5%,"1,386",28.0%,"2,260",56.7%,31,6.0%,"5,718",12.3%,
,Texas Resident,"35,441",95.4%,"2,834",57.2%,"1,411",35.4%,491,94.4%,"40,177",86.2%,
,"Non-TX, US Resident","1,102",3.0%,644,13.0%,677,17.0%,29,5.6%,"2,452",5.3%,
,"Non-TX, Non-US Resident",612,1.6%,"1,479",29.8%,"1,898",47.6%,,,"3,989",8.6%,
,< 6 SCH,"1,096",2.9%,786,15.9%,679,17.0%,,,"2,561",5.5%,
,6-8 SCH,"1,392",3.7%,711,14.3%,176,4.4%,1,.2%,"2,280",4.9%,
,9-11 SCH,"1,737",4.7%,"2,497",50.4%,"3,006",75.4%,,,"7,240",15.5%,
,12-14 SCH,"18,842",50.7%,781,15.8%,103,2.6%,,,"19,726",42.3%,
,15-17 SCH,"12,970",34.9%,96,1.9%,20,.5%,2,.4%,"13,088",28.1%,
,>17 SCH,"1,118",3.0%,86,1.7%,2,.1%,517,99.4%,"1,723",3.7%,
,Less Than Half Time,"1,028",2.8%,685,13.8%,554,13.9%,,,"2,267",4.9%,
,Half-Time,"3,128",8.4%,821,16.6%,305,7.7%,1,.2%,"4,255",9.1%,
,Full-Time,"32,999",88.8%,"3,451",69.6%,"3,127",78.4%,519,99.8%,"40,096",86.0%,
,No,"21,649",58.3%,"4,864",98.1%,"3,832",96.1%,468,90.0%,"30,813",66.1%,
,Yes,"15,506",41.7%,93,1.9%,154,3.9%,52,10.0%,"15,805",33.9%,
,No,"26,248",70.6%,"2,374",47.9%,"2,071",52.0%,81,15.6%,"30,774",66.0%,
,Unknown,"1,339",3.6%,"1,579",31.9%,720,18.1%,413,79.4%,"4,051",8.7%,
,Yes,"9,568",25.8%,"1,004",20.3%,"1,195",30.0%,26,5.0%,"11,793",25.3%,
"Prepared by DARS, 6/19/2012",,,,,,,,,,,,
