Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Liberal Arts,"USLA WGST
Subtotal",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,5,8,7,,20,,4,4,5,5,,,29,
"Science
Veterinary Medicine
General Studies
Other - Special Populations
University",APHY,,,,,,,,,,,,,,,
,APMS,1,,,1,,2,,,,,,,,2,
,BIOL,,,,,,,,,,,,,,,
,BMCB,,,1,,,1,,,,,,,,1,
,BOTN,,,,,,,,,,,,,,,
,CHEM,,1,,1,,2,,1,1,1,1,,,4,
,GENE,,,,,,,,,,,,,,,
,MATH,,,,,,,,1,1,,,,,1,
,MBIO,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,,,,,,,,,,1,1,,,1,
,STAT,,,,,,,1,2,3,,,,,3,
,USSC,,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,,,,,,
,Subtotal,1,1,1,2,,5,1,4,5,2,2,,,12,
,BIMS,1,1,,,,2,,,,,,,,2,
,BIOT,,,,,,,,,,,,,,,
,EPID,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,7,7,7,
,VTMI,,,,,,,,,,,,,,,
,Subtotal,1,1,,,,2,,,,,,7,7,9,
,GEST,6,1,,,,7,,,,,,,,7,
,TEAM,1,,,,,1,,,,,,,,1,
,Subtotal,7,1,,,,8,,,,,,,,8,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,1,,1,,,,,1,
,PHLT,,,,,,,5,,5,,,,,5,
,REEP,,,,1,,1,,,,,,,,1,
,Subtotal,,,,1,,1,6,,6,,,,,7,
,Total,12,18,24,22,,76,9,34,43,33,33,7,7,159,
"Prepared by DARS, 20 Jun 12",,,,,,,,,,,,,,,,
