Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Liberal Arts,"USLA WGST
Subtotal",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,14,33,29,44,,120,,5,5,5,5,,,130,
"Science
Veterinary Medicine
General Studies
Other - Special Populations
University",APHY,,,,,,,,,,1,1,,,1,
,APMS,,2,,3,,5,,,,,,,,5,
,BIOL,4,10,2,14,,30,,,,,,,,30,
,BMCB,,,2,2,,4,,,,,,,,4,
,BOTN,,,,,,,,,,,,,,,
,CHEM,1,3,1,1,,6,,,,1,1,,,7,
,GENE,,,,,,,,,,,,,,,
,MATH,4,1,2,6,,13,,,,1,1,,,14,
,MBIO,,,,3,,3,,1,1,,,,,4,
,MSEN,,,,,,,,,,,,,,,
,PHYS,1,,1,1,,3,,2,2,2,2,,,7,
,STAT,,,,,,,1,2,3,1,1,,,4,
,USSC,,,,,,,,,,,,,,,
,ZOOL,1,,,1,,2,,,,,,,,2,
,Subtotal,11,16,8,31,,66,1,5,6,6,6,,,78,
,BIMS,13,11,7,7,,38,,1,1,,,,,39,
,BIOT,,,,,,,,,,,,,,,
,EPID,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,2,2,2,
,VTMI,,,,,,,,,,,,,,,
,Subtotal,13,11,7,7,,38,,1,1,,,2,2,41,
,GEST,25,39,1,,,65,,,,,,,,65,
,TEAM,15,6,1,,,22,,,,,,,,22,
,Subtotal,40,45,2,,,87,,,,,,,,87,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,1,,1,,,,,1,
,PHLT,,,,,,,,,,,,,,,
,REEP,,,,,,,,,,,,,,,
,Subtotal,,,,,,,1,,1,,,,,1,
,Total,129,211,154,231,,725,3,58,61,22,22,2,2,810,
"Prepared by DARS, 20 Jun 12",,,,,,,,,,,,,,,,
