Spring 2012,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total Female Male,"7,750",100.0%,"1,436",100.0%,"1,213",100.0%,,,"10,399",100.0%,
,,"1,430",18.5%,328,22.8%,220,18.1%,,,"1,978",19.0%,
,,"6,320",81.5%,"1,108",77.2%,993,81.9%,,,"8,421",81.0%,
"Ethnicity
TAMU Age
Categories
Enrollment Status
Tuition Status
Residency Status
SCH
Categories
Ft/Pt: TAMU
Status
Top 10% Texas High School
First Generation",White Only (NEW),"5,311",68.5%,444,30.9%,211,17.4%,,,"5,966",57.4%,
,American Indian Only (NEW),24,.3%,1,.1%,1,.1%,,,26,.3%,
,Asian Only (NEW),466,6.0%,72,5.0%,33,2.7%,,,571,5.5%,
,Black Only + 2 or more/1 Black (NEW),219,2.8%,26,1.8%,24,2.0%,,,269,2.6%,
,Hispanic or Latino of any Race (NEW),"1,221",15.8%,102,7.1%,42,3.5%,,,"1,365",13.1%,
,Native Hawaii Only (New),12,.2%,,,1,.1%,,,13,.1%,
,2 or More/Excluding Black (NEW),146,1.9%,15,1.0%,3,.2%,,,164,1.6%,
,International,328,4.2%,765,53.3%,891,73.5%,,,"1,984",19.1%,
,Unknown or Not Reported,23,.3%,11,.8%,7,.6%,,,41,.4%,
,<18,,,,,,,,,,,
,18-21,"4,243",54.7%,3,.2%,,,,,"4,246",40.8%,
,22-25,"3,261",42.1%,794,55.3%,81,6.7%,,,"4,136",39.8%,
,26-30,165,2.1%,477,33.2%,712,58.7%,,,"1,354",13.0%,
,31-39,71,.9%,131,9.1%,385,31.7%,,,587,5.6%,
,40+,10,.1%,31,2.2%,35,2.9%,,,76,.7%,
,1st Time in College,34,.4%,,,,,,,34,.3%,
,1st Time PB,,,9,.6%,,,,,9,.1%,
,1st Time Graduate,,,118,8.2%,35,2.9%,,,153,1.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,114,1.5%,,,,,,,114,1.1%,
,Readmitted,36,.5%,5,.3%,1,.1%,,,42,.4%,
,Continuing,"7,566",97.6%,"1,304",90.8%,"1,177",97.0%,,,"10,047",96.6%,
,Resident Tuition,"6,888",88.9%,500,34.8%,179,14.8%,,,"7,567",72.8%,
,Non-Resident Tuition,299,3.9%,460,32.0%,157,12.9%,,,916,8.8%,
,Tuition Exemption/Waiver,563,7.3%,476,33.1%,877,72.3%,,,"1,916",18.4%,
,Texas Resident,"7,113",91.8%,523,36.4%,200,16.5%,,,"7,836",75.4%,
,"Non-TX, US Resident",311,4.0%,144,10.0%,117,9.6%,,,572,5.5%,
,"Non-TX, Non-US Resident",326,4.2%,769,53.6%,896,73.9%,,,"1,991",19.1%,
,< 6 SCH,118,1.5%,248,17.3%,108,8.9%,,,474,4.6%,
,6-8 SCH,145,1.9%,117,8.1%,15,1.2%,,,277,2.7%,
,9-11 SCH,314,4.1%,978,68.1%,"1,043",86.0%,,,"2,335",22.5%,
,12-14 SCH,"3,855",49.7%,88,6.1%,33,2.7%,,,"3,976",38.2%,
,15-17 SCH,"3,065",39.5%,4,.3%,13,1.1%,,,"3,082",29.6%,
,>17 SCH,253,3.3%,1,.1%,1,.1%,,,255,2.5%,
,Less Than Half Time,55,.7%,219,15.3%,102,8.4%,,,376,3.6%,
,Half-Time,461,5.9%,148,10.3%,23,1.9%,,,632,6.1%,
,Full-Time,"7,234",93.3%,"1,069",74.4%,"1,088",89.7%,,,"9,391",90.3%,
,No,"3,974",51.3%,"1,417",98.7%,"1,169",96.4%,,,"6,560",63.1%,
,Yes,"3,776",48.7%,19,1.3%,44,3.6%,,,"3,839",36.9%,
,No,"5,721",73.8%,785,54.7%,665,54.8%,,,"7,171",69.0%,
,Unknown,453,5.8%,402,28.0%,193,15.9%,,,"1,048",10.1%,
,Yes,"1,576",20.3%,249,17.3%,355,29.3%,,,"2,180",21.0%,
"Prepared by DARS, 6/19/2012",,,,,,,,,,,,
