Spring 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,3,3,6,,,,,,,,,,,,,1,1,2,4,4,8,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,3,2,5,,,,,,,,,,,,,1,1,2,4,3,7,
,22-25,,1,1,,,,,,,,,,,,,,,,,1,1,
,26-30,,,,,,,,,,,,,,,,,,,,,,
,Freshman,3,3,6,,,,,,,,,,,,,1,1,2,4,4,8,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,
,Junior,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,2,2,4,,,,,,,,,,,,,,,,2,2,4,
,Non-Resident  Tuition,1,1,2,,,,,,,,,,,,,1,1,2,2,2,4,
,Tuition,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,2,2,4,,,,,,,,,,,,,,,,2,2,4,
,"Non-TX, US Resident",1,1,2,,,,,,,,,,,,,,,,1,1,2,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,1,1,2,1,1,2,
,Resident,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,1,1,,,,,,,,,,,,,,,,,1,1,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,3,,3,,,,,,,,,,,,,,1,1,3,1,4,
,15-17 SCH,,2,2,,,,,,,,,,,,,1,,1,1,2,3,
,Half-Time,,1,1,,,,,,,,,,,,,,,,,1,1,
,Full-Time,3,2,5,,,,,,,,,,,,,1,1,2,4,3,7,
,No,2,3,5,,,,,,,,,,,,,1,1,2,3,4,7,
,Yes,1,,1,,,,,,,,,,,,,,,,1,,1,
,No,2,1,3,,,,,,,,,,,,,,,,2,1,3,
,Unknown,,,,,,,,,,,,,,,,1,1,2,1,1,2,
,Yes,1,2,3,,,,,,,,,,,,,,,,1,2,3,
,1.00,1,2,3,,,,,,,,,,,,,,1,1,1,3,4,
,2.00,2,1,3,,,,,,,,,,,,,1,,1,3,1,4,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,
