Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,SPSA,,,1,1,,2,,,,,,,,2,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,1,,,1,,,,,,,,1,
,WFSC,,,2,2,,4,,,,,,,,4,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,8,22,36,40,,106,,9,9,,,,,115,
"Architecture
Business Admin",ARCH,,,,,,,,,,,,,,,
,COMG,,,,,,,,1,1,,,,,1,
,COSC,,,,5,,5,,,,,,,,5,
,COSL,,,2,1,,3,,,,,,,,3,
,ENDL,,2,,1,,3,,,,,,,,3,
,ENDS,,,,4,,4,,,,,,,,4,
,LAND,,,,3,,3,,1,1,,,,,4,
,LANL,,,1,,,1,,,,,,,,1,
,LDEV,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,,1,1,,,,,1,
,URSC,,,,,,,,,,,,,,,
,USAR,,,,1,,1,,,,,,,,1,
,VISL,,1,1,,,2,,,,,,,,2,
,VIST,,,,,,,,1,1,,,,,1,
,Subtotal,,3,4,15,,22,,4,4,,,,,26,
,ACCT,,,3,3,,6,,2,2,,,,,8,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,,1,,1,,,,,,,,1,
,BUAD,7,16,3,,,26,,,,,,,,26,
,BUAG,,1,,,,1,,,,,,,,1,
,EMBA,,,,,,,,,,,,,,,
,FINC,,,1,6,,7,,,,,,,,7,
,INFO,,,1,6,,7,,,,,,,,7,
,MGMT,,,1,2,,3,,,,,,,,3,
,MISY,,,,,,,,,,,,,,,
,MKTG,,,6,2,,8,,,,,,,,8,
,MLER,,,,,,,,,,,,,,,
,USBU,,,2,5,,7,,,,,,,,7,
,Subtotal,7,17,17,25,,66,,2,2,,,,,68,
