Spring 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,3,14,17,,,,,,,1,1,,,,,,,,,,,,1,,1,4,15,19,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,2,8,10,,,,,,,1,1,,,,,,,,,,,,,,,2,9,11,
,22-25,,4,4,,,,,,,,,,,,,,,,,,,,1,,1,1,4,5,
,26-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31-39,,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,
,40+,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,2,10,12,,,,,,,,,,,,,,,,,,,,1,,1,3,10,13,
,Junior,1,4,5,,,,,,,1,1,,,,,,,,,,,,,,,1,5,6,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,3,14,17,,,,,,,1,1,,,,,,,,,,,,1,,1,4,15,19,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,3,14,17,,,,,,,1,1,,,,,,,,,,,,1,,1,4,15,19,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,9-11 SCH,,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,
,12-14 SCH,,8,8,,,,,,,,,,,,,,,,,,,,1,,1,1,8,9,
,15-17 SCH,2,4,6,,,,,,,1,1,,,,,,,,,,,,,,,2,5,7,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,1,2,3,,,,,,,,,,,,,,,,,,,,,,,1,2,3,
,Full-Time,2,12,14,,,,,,,1,1,,,,,,,,,,,,1,,1,3,13,16,
,No,1,14,15,,,,,,,1,1,,,,,,,,,,,,1,,1,2,15,17,
,Yes,2,,2,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,No,1,6,7,,,,,,,,,,,,,,,,,,,,,,,1,6,7,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,
,Yes,2,8,10,,,,,,,1,1,,,,,,,,,,,,,,,2,9,11,
,1.00,3,13,16,,,,,,,1,1,,,,,,,,,,,,1,,1,4,14,18,
,2.00,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
