Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Education,BIED,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,3,3,,,3
,EDAD,,,,,,,,3,3,3,3,,,6
,EDCI,,,,,,,,4,4,1,1,,,5
,EDHL,4,1,8,2,,15,,,,,,,,15
,EDIS,,,1,,,1,,,,,,,,1
,EDKI,5,5,6,1,,17,,,,,,,,17
,EDSM,,1,,,,1,,,,,,,,1
,EDTC,,,,,,,,,,,,,,
,EHRD,,,,,,,,1,1,4,4,,,5
,EPSY,,,,,,,1,1,2,2,2,,,4
,HEED,,,,,,,,1,1,2,2,,,3
,HLTH,,,,6,,6,,,,,,,,6
,HRDL,1,2,3,,,6,,,,,,,,6
,HRDV,,,,4,,4,,,,,,,,4
,INST,,,2,5,,7,,,,,,,,7
,KINE,,,,8,,8,,1,1,2,2,,,11
,NUTR,,,,,,,,1,1,,,,,1
,PHED,,,,,,,,,,,,,,
,SPED,,,,,,,,1,1,,,,,1
,SPMT,,,,,,,,1,1,,,,,1
,SPSY,,,,,,,,,,3,3,,,3
,TCMG,,,1,4,,5,,,,,,,,5
,TCML,,,2,1,,3,,,,,,,,3
,TECR,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,
,Subtotal,10,9,23,31,,73,1,14,15,20,20,,,108
