Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERL,5,,,,,5,,,,,,,,5
,AERO,,,1,4,,5,,,,1,1,,,6
,BIOT,,,,,,,,,,,,,,
,BMEL,,2,,1,,3,,,,,,,,3
,BMEN,,1,3,2,,6,,,,2,2,,,8
,CECL,3,2,,1,,6,,,,,,,,6
,CECN,,1,1,5,,7,,,,1,1,,,8
,CEEL,1,2,1,,,4,,,,,,,,4
,CEEN,,,,4,,4,,1,1,,,,,5
,CHEL,1,2,1,,,4,,,,,,,,4
,CHEN,,1,2,13,,16,,1,1,1,1,,,18
,CPSC,,1,2,9,,12,,1,1,3,3,,,16
,CPSL,4,2,2,,,8,,,,,,,,8
,CVEL,2,3,,,,5,,,,,,,,5
,CVEN,,1,3,11,,15,,3,3,,,,,18
,ELEL,5,2,,,1,8,,,,,,,,8
,ELEN,,,2,6,,8,,5,5,2,2,,,15
,ENGR,,,,,,,,,,,,,,
,ENSM,,,,,,,,2,2,,,,,2
,ENTC,,,3,6,,9,,,,,,,,9
,ENTL,,3,3,2,,8,,,,,,,,8
,HLPH,,,,,,,,1,1,,,,,1
,IDIL,,2,2,,,4,,,,,,,,4
,IDIS,,,1,7,,8,,,,,,,,8
,INEL,1,2,3,,,6,,,,,,,,6
,INEN,,,4,15,,19,,1,1,4,4,,,24
,ITDE,,,,,,,,,,,,,,
,MEEL,3,4,,,,7,,,,,,,,7
,MEEN,,1,4,10,,15,1,2,3,4,4,,,22
,MSEN,,,,,,,,,,1,1,,,1
,NUEL,,,,,,,,,,,,,,
,NUEN,,1,,4,,5,,1,1,2,2,,,8
,OCEL,,,,,,,,,,,,,,
,OCEN,,,1,1,,2,,1,1,,,,,3
,PETE,,1,,2,,3,,5,5,3,3,,,11
,PETL,3,3,6,2,,14,,,,,,,,14
,RHEL,1,,,,,1,,,,,,,,1
,RHEN,,,1,1,,2,,,,,,,,2
,SENG,,,,,,,1,,1,,,,,1
,USEN,,,,,,,,,,,,,,
,Subtotal,29,37,46,106,1,219,2,24,26,24,24,,,269
