Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Liberal Arts,"USLA WGST
Subtotal",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,7,6,13,,26,,,,2,2,,,28,
"Science
Veterinary Medicine
General Studies
Other - Special Populations
University",APHY,,,,,,,,,,1,1,,,1,
,APMS,,,,,,,,,,,,,,,
,BIOL,1,2,1,3,,7,,,,,,,,7,
,BMCB,,,,,,,,,,,,,,,
,BOTN,,,,,,,,,,,,,,,
,CHEM,,,1,,,1,,,,1,1,,,2,
,GENE,,,,,,,,,,,,,,,
,MATH,,,,,,,,,,,,,,,
,MBIO,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,,,,,,,,,,,,,,,
,STAT,,,,,,,,,,,,,,,
,USSC,,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,,,,,,
,Subtotal,1,2,2,3,,8,,,,2,2,,,10,
,BIMS,1,2,1,,,4,,1,1,,,,,5,
,BIOT,,,,,,,,,,,,,,,
,EPID,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,1,1,1,
,VTMI,,,,,,,,,,,,,,,
,Subtotal,1,2,1,,,4,,1,1,,,1,1,6,
,GEST,3,3,1,,,7,,,,,,,,7,
,TEAM,1,,,,,1,,,,,,,,1,
,Subtotal,4,3,1,,,8,,,,,,,,8,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,,,,,,,,,
,PHLT,,,,,,,,,,,,,,,
,REEP,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
,Total,13,25,30,53,1,122,2,9,11,10,10,1,1,144,
"Prepared by DARS, 20 Jun 12",,,,,,,,,,,,,,,,
