Spring 2012,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Education,BIED,,,,,,,,3,3,,,,,3
,CPSY,,,,,,,,,,1,1,,,1
,EDAD,,,,,,,,1,1,,,,,1
,EDCI,,,,,,,1,29,30,32,32,,,62
,EDHL,,1,,,,1,,,,,,,,1
,EDIS,,,,,,,,,,,,,,
,EDKI,2,1,,,,3,,,,,,,,3
,EDSM,,,1,,,1,,,,,,,,1
,EDTC,,,,,,,,2,2,,,,,2
,EHRD,,,,,,,,8,8,14,14,,,22
,EPSY,,,,,,,,10,10,28,28,,,38
,HEED,,,,,,,,1,1,5,5,,,6
,HLTH,,,,,,,,,,,,,,
,HRDL,,,1,,,1,,,,,,,,1
,HRDV,,,,,,,,,,,,,,
,INST,,,,2,,2,,,,,,,,2
,KINE,,,,1,,1,,9,9,15,15,,,25
,NUTR,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,
,SPMT,,,2,,,2,,2,2,,,,,4
,SPSY,,,,,,,,,,2,2,,,2
,TCMG,,,,,,,,,,,,,,
,TCML,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,
,Subtotal,2,2,4,3,,11,1,65,66,97,97,,,174
