Spring 2012,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,11,57,68,,,1,7,8,,3,3,3,15,18,,,,3,3,2,10,12,,2,2,17,97,114,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt:  TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",18-21,5,24,29,,,,2,2,,2,2,3,8,11,,,,2,2,,8,8,,,,8,46,54,
,22-25,4,22,26,,,1,3,4,,,,,7,7,,,,1,1,2,2,4,,2,2,7,37,44,
,26-30,1,5,6,,,,2,2,,,,,,,,,,,,,,,,,,1,7,8,
,31-39,,4,4,,,,,,,1,1,,,,,,,,,,,,,,,,5,5,
,40+,1,2,3,,,,,,,,,,,,,,,,,,,,,,,1,2,3,
,Freshman,,,,,,,,,,,,,1,1,,,,,,,1,1,,,,,2,2,
,Sophomore,3,13,16,,,,2,2,,1,1,,4,4,,,,1,1,1,3,4,,1,1,4,25,29,
,Junior,4,30,34,,,1,2,3,,1,1,2,10,12,,,,2,2,,4,4,,1,1,7,50,57,
,Senior,3,12,15,,,,3,3,,,,1,,1,,,,,,1,2,3,,,,5,17,22,
,PB,1,2,3,,,,,,,1,1,,,,,,,,,,,,,,,1,3,4,
,Resident Tuition,10,54,64,,,1,6,7,,3,3,2,12,14,,,,3,3,,,,,2,2,13,80,93,
,Non-Resident Tuition,1,,1,,,,1,1,,,,,,,,,,,,2,10,12,,,,3,11,14,
,Tuition,,3,3,,,,,,,,,1,3,4,,,,,,,,,,,,1,6,7,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,10,57,67,,,1,7,8,,3,3,3,15,18,,,,3,3,,,,,2,2,14,87,101,
,"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,2,10,12,,,,2,10,12,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,1,5,6,,,,1,1,,,,,,,,,,,,,,,,,,1,6,7,
,9-11 SCH,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,2,2,
,12-14 SCH,7,43,50,,,1,5,6,,2,2,3,12,15,,,,1,1,2,6,8,,2,2,13,71,84,
,15-17 SCH,3,6,9,,,,1,1,,,,,3,3,,,,2,2,,4,4,,,,3,16,19,
,>17 SCH,,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,1,6,7,,,,1,1,,2,2,,,,,,,,,,1,1,,,,1,10,11,
,Full-Time,10,51,61,,,1,6,7,,1,1,3,15,18,,,,3,3,2,9,11,,2,2,16,87,103,
,No,9,49,58,,,1,4,5,,3,3,3,10,13,,,,2,2,2,10,12,,2,2,15,80,95,
,Yes,2,8,10,,,,3,3,,,,,5,5,,,,1,1,,,,,,,2,17,19,
,No,8,32,40,,,1,5,6,,3,3,2,7,9,,,,2,2,,,,,2,2,11,51,62,
,Unknown,,,,,,,,,,,,,1,1,,,,,,2,10,12,,,,2,11,13,
,Yes,3,25,28,,,,2,2,,,,1,7,8,,,,1,1,,,,,,,4,35,39,
,1.00,10,48,58,,,1,6,7,,3,3,2,10,12,,,,2,2,1,7,8,,2,2,14,78,92,
,2.00,1,9,10,,,,1,1,,,,1,5,6,,,,1,1,1,3,4,,,,3,19,22,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
