Spring 2012,,White Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,5,2,7,,,,,1,1,,2,2,,,,,,,5,5,10,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,5,2,7,,,,,1,1,,2,2,,,,,,,5,5,10,
,22-25,,,,,,,,,,,,,,,,,,,,,,
,26-30,,,,,,,,,,,,,,,,,,,,,,
,Freshman,3,2,5,,,,,1,1,,1,1,,,,,,,3,4,7,
,Sophomore,2,,2,,,,,,,,1,1,,,,,,,2,1,3,
,Junior,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,4,2,6,,,,,1,1,,1,1,,,,,,,4,4,8,
,Non-Resident  Tuition,,,,,,,,,,,,,,,,,,,,,,
,Tuition,1,,1,,,,,,,,1,1,,,,,,,1,1,2,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,4,2,6,,,,,1,1,,2,2,,,,,,,4,5,9,
,"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,1,,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,4,2,6,,,,,1,1,,2,2,,,,,,,4,5,9,
,15-17 SCH,1,,1,,,,,,,,,,,,,,,,1,,1,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,5,2,7,,,,,1,1,,2,2,,,,,,,5,5,10,
,No,3,2,5,,,,,1,1,,1,1,,,,,,,3,4,7,
,Yes,2,,2,,,,,,,,1,1,,,,,,,2,1,3,
,No,3,2,5,,,,,,,,2,2,,,,,,,3,4,7,
,Unknown,,,,,,,,,,,,,,,,,,,,,,
,Yes,2,,2,,,,,1,1,,,,,,,,,,2,1,3,
,1.00,4,,4,,,,,1,1,,1,1,,,,,,,4,2,6,
,2.00,1,2,3,,,,,,,,1,1,,,,,,,1,3,4,
"Prepared by DARS, 17 Feb 12",,,,,,,,,,,,,,,,,,,,,,,
