Headcount by Department by Ethnic Origin by Gender (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,
Spring 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Agriculture,AGEC,168,401,2,,2,5,3,4,19,40,,,4,8,43,51,,2,241,511,752,
,ALEC,515,424,5,3,1,4,22,52,58,55,,,8,9,7,4,,1,616,552,"1,168",
,ANSC,513,200,7,,8,1,5,2,86,43,,1,13,4,7,6,2,,641,257,898,
,BAEN,43,239,,1,4,10,4,6,10,48,,,,10,21,37,,1,82,352,434,
,BCBP,101,113,,2,30,36,15,10,26,25,,,7,2,22,42,2,2,203,232,435,
,CLAG,25,41,,,1,,5,5,3,10,,,2,,,,,,36,56,92,
,ENTO,72,49,1,1,2,5,4,2,38,15,,,2,2,7,5,,,126,79,205,
,ESSM,55,143,,2,2,2,4,1,12,24,,,1,5,10,7,,1,84,185,269,
,HRSC,119,49,1,2,1,,,,16,12,,,2,,7,8,,,146,71,217,
,NFSC,332,73,,,30,14,14,3,84,21,1,,10,3,22,6,,,493,120,613,
,PLPM,81,63,,1,6,9,7,4,45,28,,1,6,1,7,8,,1,152,116,268,
,POSC,52,73,1,1,1,,4,3,13,15,,,2,,8,7,,,81,99,180,
,RPTS,230,167,1,,5,4,7,11,27,21,1,,2,5,20,9,,,293,217,510,
,SCSC,39,150,,1,1,5,1,2,8,15,,,,3,20,25,,,69,201,270,
,WFSC,181,178,1,,2,1,8,1,68,43,,,3,1,13,9,2,1,278,234,512,
,Subtotal,"2,526","2,363",19,14,96,96,103,106,513,415,2,2,62,53,214,224,6,9,"3,541","3,282","6,823",
Architecture,ARCH,138,144,2,,16,8,1,5,53,50,,,3,4,35,34,1,1,249,246,495,
,CLAR,6,24,,,,1,,1,4,8,,,,1,,,,,10,35,45,
